name,country,333bf
Bowen Xiao (肖博文),China,1197
Kaijun Lin (林恺俊),China,1161
Yifan Wang (王逸帆),China,1113
Tommy Cherry,USA,1072
Arthur Garcin,France,1072
Krzysztof Bober,Poland,1062
Yiwei Liu (刘伊玮),China,1059
Jack Cai,Australia,1057
Mengfei Shen (沈梦非),China,1035
Yichuan Xie (谢逸川),China,1034
Daniel Tidsey,United Kingdom,1034
Lorenzo Mauro,Italy,1032
Igor Aipkin,Uzbekistan,1024
Olivier Vos,Netherlands,1024
Ethan Pan,New Zealand,1023
Yucheng Chen (陈裕铖),China,1023
Sukant Koul,India,1022
Sebastiano Tronto,Italy,1022
Radomił Baran,Poland,1020
Jonathan Pang,Australia,1019
Adrian Dębski,Poland,1012
Vladimir Sergeev,Russia,1009
Sebastian Owieczko,Poland,1008
Michał Krasowski,Poland,1007
Jia-Hong Lu (陸嘉宏),Taiwan,1007
Ben Stokes,United Kingdom,1005
Michael Tripodi,Australia,1002
Tianyu Zhao (赵天愉),China,1002
Michał Bogdan,Poland,1002
Martin Vædele Egdal,Denmark,1000
Yahia Ahmed Abdallah Elhawy,Egypt,997
Manuel Gutman,Argentina,995
Volodymyr Korol (Володимир Король),Ukraine,991
Fletcher Berry,USA,986
Mohammed Aiman Koli,India,985
Jens Haber,Germany,984
Roman Strakhov,Russia,984
Feliks Zemdegs,Australia,984
Bartosz Karpiński,Poland,982
Jeff Park,USA,981
Bartłomiej Owczarek,Poland,981
Andrii Lushpak (Андрій Лушпак),Ukraine,976
Valentin Lanz,Switzerland,976
Noah Swor,USA,976
Stanisław Szyszka,Poland,975
Arkadiusz Żynel,Poland,973
Thomas Hartley,Australia,971
Pavel Mishin (Павел Мишин),Russia,971
Konstantin Jaehne,Germany,970
Thor Muto Asmund,Denmark,969
Maxime Madrzyk,France,969
Kai-Wen Wang (王楷文),Taiwan,967
Hongjie Zhang (张鸿杰),China,966
Magdalena Pabisz,Poland,966
Phillip Maxwell,Indonesia,962
Tom Nelson,New Zealand,961
Dong Zhu (朱栋),China,961
Gang Yang (杨港),China,961
Haozhen Ding (丁昊桢),China,960
Manu Vereecken,Belgium,959
Jode Brewster,Australia,958
Cheng Zhang (张成),China,958
Paweł Murawski,Poland,958
Shivam Bansal,India,957
Max Hilliard,USA,956
Swami Srinivasan,Australia,956
Mattia Rigo,Italy,954
Wilfrid Py,France,952
Graham Siggins,USA,949
Jae Park,USA,949
Akash Rupela,India,949
Ahmed Rady,Egypt,949
Keenan Johnson,USA,948
Alex Taylor,New Zealand,946
Joel Tan,Singapore,946
Kamil Przybylski,Poland,946
Szymon Grodzki,Poland,945
David Pearce,Australia,945
Evan Liu,USA,944
Dwyane Ramos,New Zealand,943
Liam Chen,USA,943
Jakob Gunnarsson,Sweden,942
Zachary Tang,Australia,941
Ibrahim Ammar,Tunisia,941
Timo Norrkniivilä,Finland,940
Adam Marcellus Kelly,USA,940
Alaik Bhatia,India,937
Noah Kraft,Germany,937
Neel Gore,USA,936
Yunqi Ouyang (欧阳韵奇),China,935
Enzo Bruder-Jeannot,France,935
Nikolay Masson (Николай Массон),Russia,935
Liam Sweet,Australia,934
Stanley Chapel,USA,933
Roman Samsonov,Australia,933
Karol Piskorek,Poland,932
Dmitrii Saukov (Дмитрий Сауков),Russia,931
Chenfei Ke (柯陈飞),China,929
Jason Ostdiek,USA,928
Callum Prowse,New Zealand,927
Cedric Meysing,Germany,927
Bartłomiej Krokos,Poland,926
Saiyam Jain,India,926
Andrew Antoine,Egypt,925
Oleg Gritsenko,Russia,925
