personId,333fm
2006LAPI01,-1
2005KOZK01,891
2007POLK01,155
2003VAND01,247
2005KURC01,127
2006WLOS01,428
2003BRUC01,693
2004GALL02,206
2005LUCZ01,793
2006GALE01,112
2006GORS01,124
2006ORKE01,85
2006FRAN01,118
2006PRUS01,-1
2006KUTI01,135
2007ALEX01,-1
2006ROBA01,128
2006CUDZ01,369
2006ZAWI02,-1
2005STUD01,-1
2006ZAWI01,-1
2005CIAL02,129
2004NAGY01,-1
2005KOCZ01,739
2007BODO01,291
2005KREZ01,-1
2005PEER01,126
2007JIPT01,116
2003DENN01,240
2006BURN01,108
2007JAKU01,420
2005KACP01,-1
2007GORS01,-1
2003ZBOR02,153
2007KRZY01,118
2006MORG01,132
2007STAW01,141
2006WOJT01,121
2007KORZ01,109
2007LAGI01,108
2007MROZ01,121
2006PRZE01,116
2005DURK01,84
2007GANC01,100
2006SEWE01,286
2007POTO01,97
2006GUZE01,112
2007HABE01,121
2006BITE01,-1
2005PETA01,-1
2006CHOJ01,110
2007PONI01,125
2005PAWL01,-1
2007WOLN01,-1
2005ZOLN01,515
2006PAWL01,220
2005GAWE01,-1
2006OLBR01,-1
2007WRON01,-1
2006MARC01,-1
2005BORY01,-1
2006MATU02,-1
2006STWO01,-1
2007WACL01,-1
2006OOMS01,-1
2007SADO01,-1
2005JOKS01,-1
2007DULD01,-1
2007JASI01,-1
2003ZBOR01,-1
2006CZOP01,-1
2005WOLA01,112
2007MITO01,-1
2007RZEP01,-1
2006SZWA01,-1
2007GUZE01,-1
2007LUJI01,201
2006JANG01,75
2007LICH01,-1
2007CHEN06,-1
2007TONG01,-1
2006CHOU01,-1
2007LINS01,-1
2007CHEN08,-1
2006JAIW01,-1
2006TSAI03,559
2007WUPE01,-1
2006FENG02,-1
2006KANG02,-1
2007CHEN07,940
2006CHEN03,-1
2007LIUS01,-1
2007SHIU02,150
2007LINW01,-1
2006LINC01,486
2007CHOU01,-1
2007YANG01,-1
2007HOYI01,-1
2007CHAN03,-1
2007WANG05,-1
2007LIKU01,-1
2007CHIN01,-1
2007PENG01,-1
2007XUBI01,-1
2007CHAN08,-1
2007SUNT01,302
2007KEZH01,-1
2007WEIY01,144
2007JIAN02,-1
2007LIJO01,-1
2007CHUE01,-1
2007CHEN11,-1
2007HOHU01,-1
2007ZHAN03,108
2007KUEN01,-1
2007ZHAN02,-1
2007LINW02,-1
2007LIZH02,-1
2007JIAN01,-1
2007XIEE01,-1
2007XUPE01,-1
2007XUYU01,-1
2007CHEN10,-1
2007ZHON01,-1
2007ZHEN01,-1
2007YEYU01,-1
2007LIQI01,-1
2007ZHUJ01,-1
2007YIZI01,-1
2007PENG02,-1
2007CHEN12,-1
2007YANG02,-1
2007LUZH01,-1
2007LUYU01,-1
2007LISI01,-1
2007LANJ01,-1
2007HUAN02,-1
2007CHEN09,-1
2007JIZI01,-1
2007PANZ01,-1
2007YAOM01,-1
2007ZHOU02,-1
2007LONG01,-1
2007LIAN01,-1
2007TANG01,-1
2007LUOZ01,-1
2007MEIY01,-1
2007HEMI01,-1
2007CHEN13,-1
2007OUPE01,-1
2007ZHOU01,-1
2007LUOR01,-1
2007LONG02,-1
2007WUSH01,-1
2007LIZH01,-1
2007LIUY01,-1
2007TANY01,-1
2007LIZH03,-1
2006KRUE01,100
2007WEIZ02,-1
2007NALA01,-1
2005BATI01,285
2005AKKE01,646
2003MAKI01,184
2006ORLA01,119
2004KRIG01,194
2006JACQ01,95
2007HORV01,62
2006TABU02,397
2007RUFF01,46
2005OOMS01,137
2004CHAM01,115
2003HARD01,905
2006GUNJ01,576
2003POCH01,99
2005CALV02,114
2003HARR01,132
2004ROUX01,355
2004LOLE01,143
2005SUSE01,145
2004NOOR01,148
2007LIPC01,-1
2006SOUC01,128
2007CSAN01,80
2007HOMO01,-1
2006YUMO01,-1
2006ARAK01,111
2004ZAMO01,143
2005THOM01,198
2006JOHA01,124
2006DZOA03,185
2004KRIG02,299
2005OOTS01,-1
2004FERN01,95
2004MAOT01,-1
2003BURT01,671
2007ROKA01,-1
2004FELI01,141
2007FEKE01,-1
2006MATI02,-1
2004NILS01,-1
2005KOSE01,479
2005REYN01,979
2007PERG01,95
2007LOPE01,148
2006BUUS01,658
1982RAZO01,820
2007MOKR01,116
2007POLI01,753
2006STAD01,107
2007LACZ01,67
2007SINT01,158
2007GOUL01,74
2004GALL01,-1
2007KOND01,-1
2007LABS01,-1
2007HORV02,-1
2006LAMA01,123
2007KOPA01,-1
2006MATH01,-1
2006BUUS02,-1
2007FRAJ01,116
2003LARS01,115
2003LEEJ01,-1
2006ARAK02,-1
2007ELEK01,-1
2005AKUZ01,122
2006SATT01,-1
2007DIAZ01,-1
2005GUST02,90
2007PETE01,-1
2004WOLF01,193
2005SIMO01,399
2005HERC01,-1
2007ORTI01,124
2006PIRZ01,884
2006HOPD01,-1
2007CICH01,151
2007BALO03,-1
2007HESS01,412
2006BEYE01,-1
2007NOVA01,-1
2006BONN01,-1
2007KOVA01,-1
2007FODO01,110
2004FONN01,-1
2007FEHE01,92
2003VOMB01,-1
2007GRAB01,-1
2007KARA01,-1
2007BUDI01,-1
2007RUFE01,-1
