name,country,333oh
Feliks Zemdegs,Australia,1273
Dwyane Ramos,New Zealand,1249
Ruihang Xu (许瑞航),China,1248
Andrey Che,Russia,1245
Tymon Kolasiński,Poland,1242
Karol Zakrzewski,Poland,1217
Yibo Wang (王奕博),China,1214
Jode Brewster,Australia,1196
Riley Dexter,Australia,1189
Dmitry Dergunov,Russia,1189
Juliette Sébastien,France,1189
Joshua Hounslow,Australia,1188
Łukasz Burliga,Poland,1176
Max Park,USA,1172
Bryan Eng,Australia,1170
Jiazhou Li (李佳洲),China,1169
Kai-Wen Wang (王楷文),Taiwan,1169
Marquez Phan,Australia,1164
Nguyễn Khang Minh,Vietnam,1163
Vincent Wong,Australia,1152
Hubert Badocha,Poland,1145
Phoenix Patterson,Australia,1142
Andrew Bae,USA,1140
Dmitry Dobrjakov,Russia,1140
Magdalena Pabisz,Poland,1137
Yiqun Lin (林逸群),China,1136
Alexander Bashutkin,Russia,1136
Joseph Briggs,United Kingdom,1134
Martin Vædele Egdal,Denmark,1134
He-Ping Zheng (鄭和平),Taiwan,1133
Lachlan Stephens,Australia,1133
George Scholey,United Kingdom,1131
Jayden McNeill,Australia,1128
Sora Sato,Australia,1125
Jack Cai,Australia,1124
Przemysław Kaleta,Poland,1124
Lei Liu (刘磊),China,1124
Zhiyuan Ma (马之元),China,1123
Philipp Weyer,Germany,1123
Luke Garrett,USA,1121
Rhys Lloyd,Australia,1120
Qingze Li (李庆泽),China,1119
Lorenzo Mauro,Italy,1117
Xingkai Yin (尹星凯),China,1115
Daniel Gutierrez,USA,1115
Simon Kalhofer,Germany,1114
Jack Mennie,Australia,1114
Justin Mallari,USA,1112
Ben Kirby,New Zealand,1112
Artem Ganzha,Russia,1111
Ying Lin (林颖),China,1111
Weilong Luo (罗伟龙),China,1107
Nicolas Gertner,France,1106
Zhouheng Sun (孙舟横),China,1105
Andy Gong,Australia,1105
Emilio Matanguihan,Australia,1105
Bautista Bonazzola,Argentina,1104
Tao Wen (温韬),China,1103
Jr-Wei Jang (張智瑋),Taiwan,1102
Lance Aguilar,Australia,1099
