name,country,444
Tymon Kolasiński,Poland,1408
Feliks Zemdegs,Australia,1361
Sebastian Weyer,Germany,1312
Ben Kirby,New Zealand,1294
Dwyane Ramos,New Zealand,1282
Kai-Wen Wang (王楷文),Taiwan,1276
Magdalena Pabisz,Poland,1267
János Bereczki,Romania,1265
Riley Dexter,Australia,1264
Angela Braganza,New Zealand,1264
Andy Gong,Australia,1259
Yi-Fan Wu (吳亦凡),Taiwan,1252
Jode Brewster,Australia,1249
Ciarán Beahan,Ireland,1246
Ping-Yueh Huang (黃品越),Taiwan,1246
Mats Valk,Netherlands,1245
Max Park,USA,1242
Marquez Phan,Australia,1237
Alexey Zharikov,Russia,1234
Ivan Lew Yi Wen (刘义文),Malaysia,1224
Nguyễn Khang Minh,Vietnam,1223
Chris Mills,United Kingdom,1220
Marek Majerik,Slovakia,1220
Mika Smulders,Netherlands,1214
Abdelhak Kaddour,France,1211
Karol Zakrzewski,Poland,1209
Zak Kenny,Australia,1208
Szymon Malinowski,Poland,1207
Andrey Che,Russia,1204
Ryan Driscoll,Australia,1204
Robert Yau,United Kingdom,1199
Ari Randers-Pehrson,USA,1196
Patrick Ponce,USA,1193
Weihao Kong (孔维浩),China,1189
Cheng-Ying Lee (李承穎),Taiwan,1185
Mattia Furlan,Italy,1184
David Epstein,Australia,1184
Junliang Huang (黄骏亮),China,1183
Jayden McNeill,Australia,1182
Adrien Auvray Matyn,New Zealand,1182
Antonie Paterakis,Greece,1180
Joshua Hounslow,Australia,1179
Wojciech Weremczuk,Poland,1177
Przemysław Kaleta,Poland,1173
Yu Tang (唐语),China,1173
Finn Trass,New Zealand,1172
Maksym Yeli (Максим Єлі),Ukraine,1171
Tobiasz Rychlik,Poland,1171
Max Siauw,USA,1170
Lucas Déglise,France,1169
Tom Stanton-Barnett,New Zealand,1164
Alexander Bashutkin,Russia,1164
Yu-Kai Chen (陳宇楷),Taiwan,1163
He-Ping Zheng (鄭和平),Taiwan,1163
Ray Zhang (张灏睿),Australia,1162
Eli Jay,United Kingdom,1159
Jiazhou Li (李佳洲),China,1158
Kevin Gerhardt,Germany,1158
Martin Vædele Egdal,Denmark,1155
Mateusz Szulik,Poland,1152
Bryan Eng,Australia,1152
Olivier Vos,Netherlands,1152
James Macdiarmid,New Zealand,1149
Juliette Sébastien,France,1146
Fabio Schwandt,United Kingdom,1145
Yap Jia Yang,Malaysia,1144
Charlie van Ooran,Australia,1144
Seung Hyuk Nahm (남승혁),Korea,1143
Farid Mikhailov,Kazakhstan,1142
Hayden Ng,Australia,1141
Bill Wang,Canada,1139
Dmitry Dobrjakov,Russia,1137
Amos Nordman,Finland,1137
Cian-Jyun Yang (楊謙君),Taiwan,1137
Fangrui Zeng (曾方锐),China,1137
Xin Luo (罗鑫),China,1136
Katie Hull,USA,1135
Ihor Sukhovatenko (Ігор Суховатенко),Ukraine,1135
Jacob Chambers,United Kingdom,1133
Melvin Tan,Australia,1133
Sheng Cao (曹晟),China,1132
Jonah Crosby,USA,1131
Chan Hui Tung (陳許瞳),Hong Kong,1130
Will Gurnett,Australia,1129
Ho Hsieh (謝合),Taiwan,1127
Henri Gerber,Germany,1127
Carter Kucala,USA,1127
Ray Bai,USA,1127
Sam Jacklin,United Kingdom,1126
Mattheo de Wit,Netherlands,1126
David Pearce,Australia,1126
Jonathan Charlesworth,Australia,1126
Lucas Etter,USA,1125
Jasper Murray,New Zealand,1125
Richard Delacoste,Switzerland,1124
Julian Bürgi,Switzerland,1124
Kacper Dłubała,Poland,1123
Luke Tycksen,USA,1123
Cheng-Hua Wu (巫政樺),Taiwan,1123
Tristan Jansen,Netherlands,1123
Ainesh Sevellaraja,Malaysia,1123
Heng Wu (吴恒),China,1122
Ruihang Xu (许瑞航),China,1122
Cheng-Ru Yang,New Zealand,1122
Zihan Zhang (张子涵),China,1119
Jules Desjardin,France,1119
Pavel Galaktionov,Russia,1118
Pietro Gasparetto,Italy,1116
Lucas O'Connell,New Zealand,1116
Philipp Weyer,Germany,1116
Hua Huang (黄华),China,1114
Liam Highducheck,Australia,1113
Harry Savage,United Kingdom,1113
Paul Mahvi,USA,1109
Firstian Fushada (符逢城),Indonesia,1108
Yibo Xu (许一博),China,1108
Thomas Smith,Australia,1108
Jr-Wei Jang (張智瑋),Taiwan,1108
Laura Holzhauer,Germany,1107
Erik Akkersdijk,Netherlands,1107
Phoenix Patterson,Australia,1105
Seth Ferry,Australia,1104
Pavel Mesyatsev,Russia,1104
Yibo Wang (王奕博),China,1104
Christopher Morris,United Kingdom,1104
Cory Yurkovic,USA,1104
Alexander Botz,Germany,1102
Zhao-Zhe Zhong (鍾肇哲),Taiwan,1100
Sean Moran,United Kingdom,1100
Daniel Karnaukh,USA,1100
Luca Brasini,Italy,1097
Andrii Vasyliev (Андрій Васильєв),Ukraine,1095
Dana Yi,USA,1095
Reinier Schippers,Netherlands,1094
Jiayu Wang (王佳宇),China,1094
Daniel Wallin,Sweden,1094
Kristóf Veres,Hungary,1092
Xuming Wang (王旭明),China,1092
Simon Geertsema,New Zealand,1090
Hao Do,Australia,1090
Matty Hiroto Inaba,USA,1090
Yezhen Han (韩业臻),China,1090
Calven Lipec,Australia,1090
Vincent Hartanto Utomo,Indonesia,1090
Luke Burong,Australia,1089
Azhar Virani,USA,1089
Ivan Torgashov (Иван Торгашов),Russia,1088
Jan Staubach,Germany,1087
Myles Jarman,Australia,1087
Ivan Li Ka Leong (李嘉亮),Hong Kong,1087
Zach Amiridis,Australia,1086
Yusheng Du (杜宇生),China,1086
Celine Tran,Norway,1086
Yonghua Xie (解永华),China,1085
Łukasz Burliga,Poland,1085
Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,1085
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,1084
Peter Weyers,USA,1084
Michael Alexander,Australia,1083
Callum Hales-Jepp,United Kingdom,1083
Alexey Tsvetkov,Russia,1083
Jason Lee,USA,1082
Lachlan Stephens,Australia,1081
Cameron Soulagnet,USA,1081
Keaton Ellis,USA,1080
Leo Hock-Morris,Australia,1080
Joel Cetra,Germany,1079
Matthew Cook,Australia,1077
Wojciech Barciaga,Poland,1076
Ivo Stoutjesdijk,Netherlands,1076
Alevio Hamizan Ersha,Indonesia,1075
Yuxuan Guo (郭雨轩),China,1075
Tommy Kiprillis,Australia,1075
Bruno Vervoort,Belgium,1075
Sebastian Outh-Aut,Australia,1075
Nicolas Gertner,France,1074
Leon Schmidtchen,Germany,1074
Nguyễn Ngọc Thịnh,Vietnam,1074
Michał Woźniak,Poland,1074
Mannessah Kani,Australia,1073
Gergely Novotni,Hungary,1073
Toni Beljo,Croatia,1073
Rick Hamburger,Netherlands,1073
Cass Hopkins,Australia,1073
Alexander Ermakov,Russia,1072
Kaur Tuule,Estonia,1071
George Scholey,United Kingdom,1071
Tommas Austin-Milne,Australia,1071
Zixuan Liu (刘子瑄),China,1070
Sebastian Williams,United Kingdom,1070
Alexander Vujcich,New Zealand,1070
Justin Mallari,USA,1070
Terence Wang,Australia,1070
Valentin Hoffmann,France,1069
Stanley Chapel,USA,1069
Brandon Nunez,USA,1068
Ng Jia Quan (黄佳铨),Malaysia,1067
Naglis Peciulis,Lithuania,1066
Bart Sekulski,Poland,1066
Yueh-Lin Tsai (蔡岳霖),Taiwan,1066
Nicolás Sánchez,USA,1066
Rasmus Stub Detlefsen,Denmark,1066
Arisandra Soo,Australia,1066
Alvaro Haidar Ersha,Indonesia,1065
Vojtěch Kundera,Czech Republic,1065
Rituraj Sohoni,India,1065
Oscar Watson,Australia,1065
Brian Allen,Australia,1064
Henry Lichner,USA,1064
Jaden Burkhardt,USA,1064
Gabriel Rejdych,Poland,1062
Benjamin Walker,Australia,1062
Jiate Xie (谢佳特),China,1062
Francisco Hamlin,Argentina,1061
Sameer Sethuram,USA,1061
Jakub Grzybowski,Poland,1061
Diego Alfonso,France,1061
Szymon Juroszek,Poland,1061
Róbert Maróti,Hungary,1060
Christopher Sun,USA,1060
Daniel Vædele Egdal,Denmark,1060
Jacob Nokes,USA,1060
Charlie Eggins,Australia,1059
Brody Lassner,USA,1059
Brian Johnson,USA,1058
Maheran Chowdhury,Australia,1057
Alessandro Nicolì,Italy,1057
Malte Ihlefeld,Germany,1057
Ivan Bogdan,Belarus,1056
