name,country,Overall
Martin Vædele Egdal,Denmark,1029
Jode Brewster,Australia,1015
Joshua Hounslow,Australia,1007
Harry Savage,United Kingdom,985
Jonathan Charlesworth,Australia,981
Tom Stanton-Barnett,New Zealand,978
Feliks Zemdegs,Australia,977
Max Siauw,USA,971
Riley Dexter,Australia,957
Stanley Chapel,USA,957
Lennon Hughes,Australia,952
Sebastian Outh-Aut,Australia,936
Antonie Paterakis,Greece,932
Lucas O'Connell,New Zealand,925
Andy Gong,Australia,925
Tommy Cherry,USA,918
Magdalena Pabisz,Poland,913
Lorenzo Mauro,Italy,913
Carter Kucala,USA,913
Myles Jarman,Australia,905
Ng Jia Quan (黄佳铨),Malaysia,905
Kerry Creech,USA,903
Daniel Vædele Egdal,Denmark,902
Zhao-Zhe Zhong (鍾肇哲),Taiwan,901
Fabio Schwandt,United Kingdom,901
Firstian Fushada (符逢城),Indonesia,900
Jan Bentlage,Germany,899
Walker Welch,USA,899
Michał Krasowski,Poland,899
Sean Hartman,USA,898
Dwyane Ramos,New Zealand,897
Ainesh Sevellaraja,Malaysia,897
Lev Golub (Лев Голуб),Ukraine,895
Henri Gerber,Germany,894
Jakob Gunnarsson,Sweden,893
Dawid Wójcik,Poland,893
Sameer Aggarwal,USA,890
Eli Jay,United Kingdom,882
Tyler Williams,Australia,882
Evan Liu,USA,880
Igor Tarasov (Ігор Тарасов),Ukraine,880
Mohammed Aiman Koli,India,877
Łukasz Burliga,Poland,877
Callum Hales-Jepp,United Kingdom,877
Benjamin Gottschalk,USA,873
Helmer Ewert,Sweden,872
Cian-Jyun Yang (楊謙君),Taiwan,872
Aneurin Hunt,New Zealand,871
Zhiyuan Ma (马之元),China,871
Jason White,USA,870
Daniel Wallin,Sweden,870
Jayden McNeill,Australia,869
Jasper Murray,New Zealand,868
Andrey Che,Russia,868
Kai-Wen Wang (王楷文),Taiwan,868
Nikhil Soares,India,867
Vincent Hartanto Utomo,Indonesia,866
Jack Pfeifer,USA,866
Shivam Bansal,India,865
Joshua Feran,USA,865
James Quinn,USA,864
Daniel Tidsey,United Kingdom,863
Karol Zakrzewski,Poland,863
Farid Mikhailov,Kazakhstan,862
Luke Heath-Edwards,New Zealand,862
Bartłomiej Owczarek,Poland,860
Sukant Koul,India,859
Cale Schoon,USA,859
Ciarán Beahan,Ireland,857
Tobias Peter,Switzerland,857
Jacob Chambers,United Kingdom,857
Caleb Hall,New Zealand,855
Sean Moran,United Kingdom,854
Xinyun Chen (陈新运),China,853
Kevin Gerhardt,Germany,852
Joel Cetra,Germany,851
Bence Barát,Hungary,850
David Pearce,Australia,850
Tommy Kiprillis,Australia,848
Mattheo de Wit,Netherlands,844
Lucas Déglise,France,843
Michał Mlostek,Poland,842
Jeann Valdez,Australia,841
Ethan Pride,Australia,841
Aaron Spiller,Australia,840
Ilya Nazarov,Russia,840
Raymond Goslow,USA,837
AJ Kamal,USA,837
Clément Cherblanc,France,835
Ben Stokes,United Kingdom,835
Olivier Vos,Netherlands,834
Ryan Pilat,USA,833
Peter Weyers,USA,832
Noah Swor,USA,832
Oliver Fritz,Germany,831
Tymon Kolasiński,Poland,830
Chan Hui Tung (陳許瞳),Hong Kong,828
Wong Chong Wen (黄崇文),Singapore,827
Adrien Auvray Matyn,New Zealand,826
Graham Siggins,USA,823
Michael Alexander,Australia,823
Max Xiong (熊锐明),China,823
Alex Taylor,New Zealand,822
Bill Hammill,United Kingdom,822
Aedan Bryant,USA,821
Timothy Castle,USA,818
Laura Holzhauer,Germany,817
Mateusz Szulik,Poland,817
Xingkai Yin (尹星凯),China,814
Liam Highducheck,Australia,814
Adam Marcellus Kelly,USA,813
Elijah Brown,USA,813
Daniel Karnaukh,USA,812
Cedric Meysing,Germany,812
Noah Kraft,Germany,811
Sora Sato,Australia,811
Robert Yau,United Kingdom,810
Chris Mills,United Kingdom,810
David Epstein,Australia,810
