name,country,clock
Yunhao Lou (娄云皓),China,1269
Hubert Hanusiak,Poland,1163
Liam Wadek,New Zealand,1156
Yepeng Sun (孙叶芃),China,1142
Shao-Heng Hung (洪紹恆),Taiwan,1124
Przemysław Rogalski,Poland,1118
Dongzhe Li (李东哲),China,1113
Nachuan Sun (孙纳川),China,1113
Shao-Hua Hu (胡少華),Taiwan,1101
Alex Taylor,New Zealand,1101
Yueyang Hu (胡越洋),China,1096
Dmitry Gundin,Russia,1093
Siheng Chen (陈思衡),China,1091
Wei-Chen Hsieh (謝維宸),Taiwan,1082
Hanwen Mao (毛翰文),China,1077
Marcel Nycz,Poland,1077
Zhouyao Zhu (朱洲瑶),China,1075
Mateusz Kotwica,Poland,1072
Magdalena Pabisz,Poland,1070
Wei-Yu Zhen (詹惟宇),Taiwan,1064
Young He (何嘉炀),China,1060
Ziyue Chen (陈子悦),China,1060
Karol Piskorek,Poland,1057
Fyodor Borisov,Russia,1056
Chenwei Li (李琛炜),China,1054
Dawid Wójcik,Poland,1054
Zijia Feng (冯子甲),China,1052
Jakub Hamkało,Poland,1052
Yingquan Xiang (向英权),China,1047
Shangze Li (李尚泽),China,1044
Chun-Yi Kao (高俊亦),Taiwan,1043
Luke Heath-Edwards,New Zealand,1040
Daniel Fraser,New Zealand,1036
Xinan He (何栖楠),China,1032
Andrey Che,Russia,1031
Joshua Hounslow,Australia,1029
Kanting Shi (史勘霆),China,1027
Chengyang Du (杜成洋),China,1026
Qidong Jiao (焦启东),China,1025
Sirun Wu (吴思润),China,1024
Kerry Creech,USA,1024
Nathan Nairn,Australia,1023
Yunke Zhang (张云柯),China,1022
Zih-Siang Huang (黃子翔),Taiwan,1020
Jiate Xie (谢佳特),China,1019
Sam Shaw,United Kingdom,1019
Kacper Paweł Dworak,Poland,1019
Yibo Wang (王奕博),China,1018
Lev Golub (Лев Голуб),Ukraine,1018
Xianghua Zhao (赵祥华),China,1018
Wojciech Piórczyński,Poland,1017
Dwyane Ramos,New Zealand,1016
Qiyu Hou (侯启予),China,1016
Zuhan Zhang (张祖瀚),China,1015
Tyler Williams,Australia,1014
Daniil Samusev (Даниил Самусев),Russia,1014
Ilya Nazarov,Russia,1012
Michał Krasowski,Poland,1012
Yinhao Ding,Australia,1012
Szymon Kasprzycki,Poland,1011
Jonathan Charlesworth,Australia,1010
Richard Yiheng Tao,New Zealand,1005
Wenjie Xu (徐文杰),China,1003
Aston Culf,Australia,1001
Marcel Niedl,Austria,999
Tommy Cherry,USA,996
Oliver Hoy,Australia,996
Lucas Nieuwland,Canada,995
Cian-Jyun Yang (楊謙君),Taiwan,995
Karol Zakrzewski,Poland,994
Daniil Rublev (Даниил Рублёв),Russia,990
Zhe Wang (王哲),China,990
Vojtěch Kundera,Czech Republic,990
Brandon Harris,New Zealand,989
Hubert Firek,Poland,987
Lucas Jacobs,Canada,986
Linxiao Xu (徐林霄),China,985
Haoran Ji (纪皓然),China,984
Evan Liu,USA,983
Matthew Prestwich,United Kingdom,982
