name,country,minx
Alexander Vujcich,New Zealand,1255
Jan Zych,Poland,1250
Ziyu Wu (吴子钰),China,1232
James Macdiarmid,New Zealand,1203
Feliks Zemdegs,Australia,1182
Sean Moran,United Kingdom,1164
Yun-Rui Chiang (江昀叡),Taiwan,1156
Andrey Che,Russia,1151
Jasper Murray,New Zealand,1140
Magdalena Pabisz,Poland,1133
Juan Pablo Huanqui,Peru,1132
Jode Brewster,Australia,1129
Yunliang Zhang (张赟量),China,1127
Igor Tarasov (Ігор Тарасов),Ukraine,1122
James Holdsworth,Australia,1122
Ping-Yueh Huang (黃品越),Taiwan,1121
Shun-Hsin Chang (張舜欣),Taiwan,1119
Amos Nordman,Finland,1118
Katie Davies,United Kingdom,1113
Łukasz Burliga,Poland,1112
Riley Dexter,Australia,1104
Lucas O'Connell,New Zealand,1103
Bartłomiej Krokos,Poland,1098
Alan Ma,Australia,1095
Ethan Davis,USA,1092
Dongzhe Li (李东哲),China,1092
Yu Tang (唐语),China,1089
Benjamin Bucksmith,New Zealand,1089
Nicolas Naing,USA,1088
Bartłomiej Owczarek,Poland,1087
Jonathan Charlesworth,Australia,1083
Kai-Wen Wang (王楷文),Taiwan,1081
Dwyane Ramos,New Zealand,1080
Brandon Harris,New Zealand,1080
Ray Zhang (张灏睿),Australia,1075
Pavel Mesyatsev,Russia,1074
Andy Gong,Australia,1073
Jiazhou Li (李佳洲),China,1072
Phillip Lewicki,USA,1062
Shih-Hao Wang (王士豪),Taiwan,1061
Ivan Lew Yi Wen (刘义文),Malaysia,1058
Stephen Waller,United Kingdom,1057
Eli Jay,United Kingdom,1057
Chris Mills,United Kingdom,1054
Yibo Wang (王奕博),China,1053
Shang Liu (刘尚),China,1053
Maksim Demchenko (Максим Демченко),Russia,1052
Karol Zakrzewski,Poland,1052
Samir Homsi,Turkey,1051
Darcy Way,Australia,1048
Xingkai Yin (尹星凯),China,1046
Alexei Sinyavin,USA,1045
Joshua Hounslow,Australia,1044
Kevin Gerhardt,Germany,1044
Shangtong Fu (傅上桐),China,1044
Manuel Bühler,Switzerland,1042
Edward Rust,Australia,1042
Oleksandr Seniuk (Олександр Сенюк),Ukraine,1039
Zac Graham,Australia,1038
Cormac Farrell,United Kingdom,1037
Oscar Roth Andersen,Denmark,1037
Nikita Malykhin (Никита Малыхин),Russia,1036
Will Gurnett,Australia,1035
Reinier Schippers,Netherlands,1035
Yi-Ho Hsueh (薛以和),Taiwan,1035
Robert Yau,United Kingdom,1029
Taine Cassar,Australia,1029
Darren Siew Ee Yaang (蕭奕暘),Malaysia,1027
Sofiya Bondarenko,Ukraine,1027
Renxin Tang (汤任欣),China,1025
Michał Krasowski,Poland,1025
Max Siauw,USA,1024
Muhammad Saleh Imtiaz,Pakistan,1024
Michael Muething,USA,1023
Nikhil Soares,India,1021
Gergely Novotni,Hungary,1020
AJ Kamal,USA,1018
Bill Wang,Canada,1017
Adrien Auvray Matyn,New Zealand,1017
David Epstein,Australia,1015
Sebastian Outh-Aut,Australia,1015
Alex Van Vugt,Australia,1015
Marquez Phan,Australia,1014
Michael Chai (柴天方),USA,1014
Callum Hales-Jepp,United Kingdom,1014
Tristan Chua Yong,Singapore,1014
Juliette Sébastien,France,1013
Zhenyu Wang (王振宇),China,1013
