name,country,pyram
Jasper Murray,New Zealand,1372
Tymon Kolasiński,Poland,1359
Junqi Feng (冯骏骐),China,1349
Yepeng Sun (孙叶芃),China,1321
Elyas Eyou,New Zealand,1312
Riley Dexter,Australia,1302
Magdalena Pabisz,Poland,1300
Jiazhou Li (李佳洲),China,1289
Huining Huang (黄徽宁),China,1276
Yilin Miao (苗宜琳),China,1274
Dominik Górny,Poland,1272
Joshua Hounslow,Australia,1266
Xuyang Chen (陈徐洋),China,1262
Diego Alfonso,France,1257
Dwyane Ramos,New Zealand,1256
Ashley Foster,New Zealand,1251
Robin Verstraten,Netherlands,1247
Jode Brewster,Australia,1244
Yunrui Peng (彭云瑞),China,1243
Jason Harley,United Kingdom,1242
Anton Kraev,Australia,1240
Yinuo Zhao (赵伊诺),China,1237
Rafał Waryszak,Poland,1237
Marquez Phan,Australia,1231
Fanyang Zeng (曾凡洋),China,1225
Sora Sato,Australia,1224
Valeriy Kurbatov,Russia,1223
Yibo Wang (王奕博),China,1222
Yiyun Chen (陈毅昀),China,1222
Dash Cannon,Australia,1221
Xingkai Yin (尹星凯),China,1218
Wesley Allen,Australia,1217
Chris Mills,United Kingdom,1214
Kai Roff,United Kingdom,1212
Jonathan Charlesworth,Australia,1211
Mark Bennis,Netherlands,1211
Davide Arnesano,Italy,1209
Benjamin Warry,Australia,1208
Zhida Li (李知达),China,1206
Dmitry Gundin,Russia,1202
Izan Cantero Herrera,Spain,1200
Marcus Kamen,USA,1200
Minghan Li (李明瀚),China,1199
Dawid Wójcik,Poland,1198
Boyuan Yang (杨博渊),China,1198
Michael Nielsen,USA,1194
Thomas Smith,Australia,1193
Kerry Creech,USA,1193
Daniël Kassab,Netherlands,1191
Feliks Zemdegs,Australia,1190
Rasmus Stub Detlefsen,Denmark,1188
Lianghui Li (李亮辉),China,1188
Alvaro Haidar Ersha,Indonesia,1187
Ethan Stevens,Australia,1187
Tripp Peters,USA,1184
Ilya Nazarov,Russia,1183
Nachuan Sun (孙纳川),China,1180
Elijah Brown,USA,1180
Pavel Mesyatsev,Russia,1179
Olivier van Luijk,Netherlands,1169
Alexander Vujcich,New Zealand,1167
Yi Wang (王旖),China,1167
Alexey Tsvetkov,Russia,1166
Bryan Frank,Indonesia,1166
Edward Burgess,United Kingdom,1166
Qiyu Zhang (张淇奥),China,1165
Charlie van Ooran,Australia,1165
Piotr Olszewski,Poland,1164
Aniket Das,India,1164
Harsha Paladugu,USA,1163
Yinghao Wang (王鹰豪),China,1161
David Pearce,Australia,1161
Simon Kellum,USA,1161
Callum Hales-Jepp,United Kingdom,1160
Jiate Xie (谢佳特),China,1159
Martin Vædele Egdal,Denmark,1158
Harry Savage,United Kingdom,1157
Xinyun Chen (陈新运),China,1155
Tom Stanton-Barnett,New Zealand,1155
Nikhil Soares,India,1155
Phoenix Patterson,Australia,1154
Alwin Rölz,Switzerland,1152
Daniël Veldman,Netherlands,1151
Toni Beljo,Croatia,1151
Yi-Ho Hsueh (薛以和),Taiwan,1151
Myles Jarman,Australia,1149
Lianhao Zhu (褚连皓),China,1149
Brayden Wroten,USA,1148
Carter Kucala,USA,1148
Ezra Shere,USA,1145
Fabio Schwandt,United Kingdom,1145
Andrey Che,Russia,1144
James Hocevar,Canada,1144
Xavier Smith,Australia,1142
Oliver Castledine,United Kingdom,1140
Wenrui Qian (钱文睿),China,1139
Junlin Li (李俊霖),China,1139
Oscar Roth Andersen,Denmark,1138
Samir Homsi,Turkey,1137
Antonie Paterakis,Greece,1135
Jakub Hibszer,Poland,1135
Vladimir Vasiliev (Владимир Васильев),Russia,1135
Ziran An (安子然),China,1134
Adrien Auvray Matyn,New Zealand,1133
Cameron Jones,United Kingdom,1132
Jiaming Zhang (张嘉铭),China,1131
Bryan Eng,Australia,1131
Dmitry Matthew Yaquinto,Russia,1130
Andres Rodriguez,USA,1130
He-Ping Zheng (鄭和平),Taiwan,1129
Haibo Sui (隋海波),China,1128
Ben Kirby,New Zealand,1127
Yining Yao (姚祎宁),China,1126
Daniel Goodman,USA,1126
Suhang Li (李苏航),China,1126
Ryan Pilat,USA,1126
Nicholas Paul,Australia,1125
Alexander Bashutkin,Russia,1125
Saransh Grover,India,1125
Tyler Howlett,USA,1124
Aneurin Hunt,New Zealand,1124
Max Siauw,USA,1124
David Epstein,Australia,1124
Mateusz Szwugier,Poland,1123
Matthew Cook,Australia,1123
Jakub Grzybowski,Poland,1122
Jayden McNeill,Australia,1122
Robert Alden,United Kingdom,1121
Mohammed Aiman Koli,India,1120
Daniel Vædele Egdal,Denmark,1119
Elvin Thorsen,Sweden,1118
Leeah Gard-Spaulding,Australia,1118
Yichen Jiang (姜一辰),China,1118
Jonathan O'Neill,Australia,1118
Dylan Cossin,USA,1118
Nathan Nairn,Australia,1117
Mattheo de Wit,Netherlands,1117
Litao Hao (郝立涛),China,1116
Kaiden Ziegler,New Zealand,1116
Ethan Erez,Canada,1116
Songtao Zhang (张松涛),China,1115
Joey Saia,USA,1113
Lucas Déglise,France,1113
Enhao Zhang (张恩浩),China,1112
Zhiyi Lin (林之逸),China,1111
Ho Hsieh (謝合),Taiwan,1110
Kui-En Chiu (邱奎恩),Taiwan,1109
Wong Kin Lok (黃健樂),Hong Kong,1108
Yunhan Yao (姚云瀚),China,1107
Przemysław Rogalski,Poland,1107
Linus Laurén,Finland,1106
Sam Shaw,United Kingdom,1106
Iurii Chesnokov (Юрий Чесноков),Russia,1106
Jinseo Hong,Korea,1106
Ataberk Şencan,Turkey,1105
Ray Zhang (张灏睿),Australia,1104
Baden Forster,Australia,1103
Lev Golub (Лев Голуб),Ukraine,1103
Jaivardhan Bhatia,Australia,1102
Andrew Tan Jing Bang,Singapore,1101
Helmer Ewert,Sweden,1101
