name,country,skewb
Daniel Vædele Egdal,Denmark,1299
Martin Vædele Egdal,Denmark,1270
Michał Krasowski,Poland,1267
Johan Mørkbak Bertelsen,Denmark,1247
Cezary Mach,Poland,1234
Aniket Das,India,1227
Dwyane Ramos,New Zealand,1222
Phoenix Patterson,Australia,1213
Daniel Wallin,Sweden,1207
Łukasz Burliga,Poland,1201
Vojtěch Kundera,Czech Republic,1196
Jonathan Charlesworth,Australia,1188
Jakob Gunnarsson,Sweden,1187
Isaac Latta,New Zealand,1169
Magdalena Pabisz,Poland,1168
Zayn Khanani,USA,1167
Nicolas Køster Christensen,Denmark,1167
Zongyang Li (李宗阳),China,1155
Henri Gerber,Germany,1152
Riley Dexter,Australia,1147
Benjamin Thunbo Jonassen,Denmark,1147
George Scholey,United Kingdom,1145
Mateusz Szulik,Poland,1145
Samir Homsi,Turkey,1142
Sebastian Outh-Aut,Australia,1137
Kevin Gerhardt,Germany,1136
Jode Brewster,Australia,1135
Chris Mills,United Kingdom,1135
Bartłomiej Owczarek,Poland,1134
Dylan Johnston,Australia,1133
Mattheo de Wit,Netherlands,1128
Elias Malomgré,Belgium,1128
Johannes Knudsen,Sweden,1127
Yihao Zhao (赵羿皓),China,1126
Noah Kraft,Germany,1124
Xinjie Shi (施鑫杰),China,1124
Jan Zych,Poland,1124
Bryan Eng,Australia,1123
Shangtong Fu (傅上桐),China,1121
Benjamin Warry,Australia,1121
Daniel Tidsey,United Kingdom,1121
Tyler Williams,Australia,1120
Harry Savage,United Kingdom,1120
Mingze Yang (杨明泽),China,1118
Oscar Watson,Australia,1117
Annika Stein,Germany,1113
Ben Wakelin,Australia,1111
Christopher Chi,USA,1109
Zhiyuan Ma (马之元),China,1109
Rasmus Stub Detlefsen,Denmark,1108
Leo Millar,Australia,1105
Rick Hamburger,Netherlands,1105
Leo Min-Bedford,Canada,1105
Krystian Załuski,Poland,1104
Carter Kucala,USA,1102
Vladislav Kozhin,Russia,1101
Noriyuki Okada (岡田典之),Japan,1101
Xiang Meng (孟响),China,1101
Wilhelm Kilders,Germany,1101
Eli Jay,United Kingdom,1100
Cian-Jyun Yang (楊謙君),Taiwan,1099
Brayden Wroten,USA,1098
Fabio Schwandt,United Kingdom,1097
Will Gurnett,Australia,1093
Daniel Rose-Levine,USA,1093
Lance Aguilar,Australia,1093
Christian Beemelmann,Germany,1091
Zhenyu Wang (王振宇),China,1091
Joe Davis,Australia,1089
Jasper Murray,New Zealand,1089
Junqi Feng (冯骏骐),China,1089
Magnus Søndergaard Byrne,Denmark,1089
Qijun Miao (缪其隽),China,1086
Lennon Hughes,Australia,1085
Alvaro Haidar Ersha,Indonesia,1084
Feliks Zemdegs,Australia,1083
Bartłomiej Krokos,Poland,1083
Yuxin Cai (蔡羽欣),China,1083
Qi Zhou (周祺),China,1083
Jayden McNeill,Australia,1083
Antonie Paterakis,Greece,1083
Ziran An (安子然),China,1083
Liangrong Ma (马良戎),China,1082
Brad Hoffman,USA,1082
Yanchen Zhu (朱彦臣),China,1081
Ilya Nazarov,Russia,1081
Jan Bentlage,Germany,1080
Zong-Xing Yang (楊宗興),Taiwan,1078
Naglis Peciulis,Lithuania,1077
Tom Wilkinson,United Kingdom,1077
Ben Stokes,United Kingdom,1076
Aleksandr Beznogov,Russia,1076
Alexey Tsvetkov,Russia,1075
Midas Kiebert,Netherlands,1072
