name,country,sq1
Michał Krasowski,Poland,1262
Adam Kędziorski,Poland,1201
Tim Xie,New Zealand,1189
Martin Vædele Egdal,Denmark,1185
David Epstein,Australia,1161
Magdalena Pabisz,Poland,1160
Rasmus Stub Detlefsen,Denmark,1141
Maksymilian Misiak,Poland,1131
Alessandro Ricci,Italy,1110
Max Siauw,USA,1110
Jakob Gunnarsson,Sweden,1095
Jakub Hamkało,Poland,1091
Lucas O'Connell,New Zealand,1082
Łukasz Dubicki,Poland,1081
Szymon Grodzki,Poland,1078
Dwyane Ramos,New Zealand,1072
Mateusz Szulik,Poland,1072
Yi-Ho Hsueh (薛以和),Taiwan,1063
Adrien Auvray Matyn,New Zealand,1061
Daniel Vædele Egdal,Denmark,1060
Ethan Erez,Canada,1055
Szymon Brzana,Poland,1049
Oliver Sherlock,Poland,1048
Benjamin Gottschalk,USA,1047
Aiden Bartlett,USA,1045
Jiazhou Li (李佳洲),China,1042
Jonathan Charlesworth,Australia,1039
Shih-Hao Wang (王士豪),Taiwan,1037
Jode Brewster,Australia,1036
Xuechao Zhang (张学超),China,1034
Andy Gong,Australia,1025
Hannes Müller,Germany,1024
Thomas Sonnenberg Jarner,Denmark,1021
Jakub Bojanowski,Poland,1021
Calvin Nielson,USA,1019
Makoto Takaoka (高岡誠),Japan,1019
Timothy Castle,USA,1016
Tang-Kai Huang (黃堂愷),Taiwan,1013
Lucas Déglise,France,1013
Christopher Chi,USA,1010
Ryszard Kiszka,Poland,1010
Brian Kan,Canada,1009
Daniel Karnaukh,USA,1006
Tijmen van der Ree,Netherlands,1006
Eva Kato,USA,1003
Nolan Yiu,USA,1002
Zhenyu Wang (王振宇),China,1001
Zhiquan Li (李志权),China,1000
Ng Jia Quan (黄佳铨),Malaysia,999
Szabolcs Szántai,Hungary,999
Marcus Siu,United Kingdom,998
Matteo Dummar,Italy,996
Lee Stanton-Barnett,New Zealand,995
Jackey Zheng,USA,994
Vincent Chan,Netherlands,994
An Li (李安),China,993
Firstian Fushada (符逢城),Indonesia,993
Sameer Aggarwal,USA,992
Noah Swor,USA,991
Charlie Stark,United Kingdom,990
Cian-Jyun Yang (楊謙君),Taiwan,990
Mikołaj Tyra,Poland,990
Stepan Makarenko,Russia,990
Manuel Malvárez,Uruguay,989
Will Gurnett,Australia,989
Brandon Lin,USA,989
Chan Hui Tung (陳許瞳),Hong Kong,987
Aneurin Hunt,New Zealand,987
Daniel Wallin,Sweden,985
Remo Pihel,Estonia,984
Ashley Foster,New Zealand,983
Calix Tang,USA,983
Joshua Hounslow,Australia,982
Chris Mills,United Kingdom,980
Rafał Sądek,Poland,979
Malte Ihlefeld,Germany,977
Lorenzo Mauro,Italy,976
Tristan Chua Yong,Singapore,975
Lev Golub (Лев Голуб),Ukraine,975
Dawid Wójcik,Poland,974
Witold Sołtysik,Poland,974
Hector David Martinez Argaez,Colombia,974
Antonie Paterakis,Greece,973
Jack McDougall,New Zealand,972
Clément Cherblanc,France,971
Hassan Khanani,USA,971
Víctor Gálvez,Uruguay,970
Fryderyk Janiak,Poland,969
Maciej Spirydowicz,Poland,969
Daniel Tidsey,United Kingdom,968
Angeline Wijaya (黃千儀),Indonesia,967
Zhibo Xuan (禤志博),China,966
Tommy Cherry,USA,966
Cory Yurkovic,USA,966
Jonathan O'Neill,Australia,965
Samuel Fang,USA,965
Michael Young,USA,964
Marquez Phan,Australia,964
Rafael Chowindra,Indonesia,962
Vladimir Tikhonenko (Владимир Тихоненко),Russia,961
Sora Sato,Australia,960
Feliks Zemdegs,Australia,960
Ian Southa,USA,960
Naglis Peciulis,Lithuania,956
Tatsuya Kusanagi (草彅達也),Japan,956
Michał Halczuk,Poland,955
Tommy Szeliga,USA,954
