Event,Single,Average,AverageProp%,Single%,Average%
333,144306,140108,97.09,96.0,93.21
222,91627,88171,96.23,60.95,58.65
pyram,60484,57115,94.43,40.24,38.0
444,42812,28678,66.99,28.48,19.08
333oh,38292,30528,79.72,25.47,20.31
skewb,33355,31449,94.29,22.19,20.92
555,20850,13938,66.85,13.87,9.27
minx,15465,9598,62.06,10.29,6.38
sq1,11756,8808,74.92,7.82,5.86
666,7907,5774,73.02,5.26,3.84
clock,7891,5931,75.16,5.25,3.95
333bf,6842,1860,27.19,4.55,1.24
333fm,6734,2689,39.93,4.48,1.79
777,6537,4597,70.32,4.35,3.06
magic,4928,4641,94.18,3.28,3.09
333ft,3268,2386,73.01,2.17,1.59
333mbf,2340,0,0.0,1.56,0.0
mmagic,2076,2039,98.22,1.38,1.36
444bf,994,151,15.19,0.66,0.1
555bf,512,54,10.55,0.34,0.04
333mbo,139,0,0.0,0.09,0.0
