comp,eventId,rTypeId,pos,personName,wcaId,best,average
DoncasterOpen2020,333,d,1,Sebastian Weyer,2010WEYE02,6.7,6.82
DoncasterOpen2020,333,d,2,Chris Mills,2014MILL04,7.24,8.28
DoncasterOpen2020,333,d,3,Fabio Schwandt,2014SCHW02,7.55,8.37
DoncasterOpen2020,333,d,4,Harry Savage,2013SAVA01,5.89,8.49
DoncasterOpen2020,333,d,5,Charlie Harrison,2017HARR08,7.92,9.04
DoncasterOpen2020,333,d,6,Daniel Tidsey,2016TIDS01,8.76,9.18
DoncasterOpen2020,333,d,7,Breandan Vallance,2007VALL01,8.71,9.45
DoncasterOpen2020,333,d,8,Steven Kearns,2015KEAR01,9.22,9.85
DoncasterOpen2020,333,d,9,Robert Yau,2009YAUR01,7.47,9.87
DoncasterOpen2020,333,d,10,Sean Moran,2016MORA24,8.15,10.29
DoncasterOpen2020,333,d,11,Jason Harley,2016HARL01,9.44,10.41
DoncasterOpen2020,333,d,12,Joseph Tudor,2016TUDO02,9.17,10.52
DoncasterOpen2020,333,d,13,Stephen Waller,2017WALL12,9.42,10.82
DoncasterOpen2020,333,d,14,Matthew Lowe,2014LOWE01,9.35,10.86
DoncasterOpen2020,333,d,15,Jonathan Ayre,2018AYRE01,10.49,11.05
DoncasterOpen2020,333,d,16,Jacob Chambers,2017CHAM09,8.19,11.08
DoncasterOpen2020,333,d,17,Callum Hales-Jepp,2012HALE01,8.52,11.18
DoncasterOpen2020,333,d,18,Bart Sekulski,2013SEKU01,9.89,11.19
DoncasterOpen2020,333,d,19,Oliver Castledine,2018CAST08,7.8,11.2
DoncasterOpen2020,333,d,20,Katie Davies,2017DAVI03,10.71,11.22
DoncasterOpen2020,333,d,21,Brandon Poulton,2019POUL02,8.93,11.26
DoncasterOpen2020,333,d,22,Bill Hammill,2015HAMM01,10.15,11.43
DoncasterOpen2020,333,d,23,Robert Alden,2019ALDE01,10.24,11.65
DoncasterOpen2020,333,d,24,Pierre Morice-Le Moel,2017MOEL01,11.03,11.72
DoncasterOpen2020,333,d,25,Ben Stokes,2018STOK01,10.2,11.83
DoncasterOpen2020,333,d,26,Charlie Stark,2014STAR05,10.66,11.83
DoncasterOpen2020,333,d,27,Christopher Morris,2013MORR03,10.58,11.9
DoncasterOpen2020,333,d,28,Joey Gouly,2007GOUL01,9.79,11.94
DoncasterOpen2020,333,d,29,Fred Lang,2016LANG12,11.41,12.06
DoncasterOpen2020,333,d,30,Deni Mintsaev (Дени Минцаев),2013MINT01,11.27,12.16
DoncasterOpen2020,333,d,31,Marcus Siu,2016SIUM01,10.36,12.4
DoncasterOpen2020,333,d,32,Matthew Ayre,2018AYRE02,10.2,12.58
DoncasterOpen2020,333,d,33,William Gan Wei Ren (颜伟仁),2014RENW01,11.14,12.65
DoncasterOpen2020,333,d,34,Aidan McMillan,2018MCMI02,10.59,12.73
DoncasterOpen2020,333,d,35,Cheung-Hao Tu,2016TUCH02,10.23,12.92
DoncasterOpen2020,333,d,36,Sam Jacklin,2015JACK04,10.81,12.94
DoncasterOpen2020,333,d,37,Oliver Wheat,2016WHEA01,11.67,12.98
DoncasterOpen2020,333,d,38,Matthew Prestwich,2016PRES04,11.63,13.15
DoncasterOpen2020,333,d,39,James Molloy,2011MOLL01,10.06,13.34
DoncasterOpen2020,333,d,40,Tom Wilkinson,2019WILK04,11.28,13.52
DoncasterOpen2020,333,d,41,Bertie Longden,2014LONG06,11.8,13.65
DoncasterOpen2020,333,d,42,Ben Thomas Campbell,2018CAMP17,12.55,13.78
DoncasterOpen2020,333,d,43,Mengfei Shen (沈梦非),2018SHEN07,12.43,14.27
DoncasterOpen2020,333,d,44,Ezra Hirschi,2019HIRS01,13.94,14.59
DoncasterOpen2020,333,d,45,Chun-Ting Liu (劉淳庭),2013LIUC02,14.05,14.61
DoncasterOpen2020,333,d,46,Matthew Ellis,2020ELLI02,14.42,14.74
DoncasterOpen2020,333,d,47,Benjamin Grzesiak,2018GRZE01,12.34,14.77
DoncasterOpen2020,333,d,48,Sam Spendla,2015SPEN01,9.1,15.04
DoncasterOpen2020,333,d,49,Glen Scott,2015SCOT06,13.09,15.05
DoncasterOpen2020,333,d,50,David Lim,2010LIMD01,11.99,15.12
DoncasterOpen2020,333,d,51,Harrison Lee,2018LEEH02,12.16,15.38
DoncasterOpen2020,333,d,52,Cassius Finn Gregory,2020GREG02,14.38,15.43
DoncasterOpen2020,333,d,53,Aaron Storr,2019STOR01,14.02,15.55
DoncasterOpen2020,333,d,54,William Turton,2018TURT01,14.85,15.6
DoncasterOpen2020,333,d,55,Jack O'Callaghan,2019OCAL01,15.19,15.99
DoncasterOpen2020,333,d,56,George Tudor,2019TUDO01,14.58,16.49
DoncasterOpen2020,333,d,57,Ryan Eckersley,2019ECKE02,14.19,16.72
DoncasterOpen2020,333,d,58,Xinnan Ye (叶新楠),2009YEXI01,14.73,16.85
DoncasterOpen2020,333,d,59,Oliver Jepson,2019JEPS01,16.29,16.96
DoncasterOpen2020,333,d,60,Jack Adams,2019ADAM02,15.21,17.52
DoncasterOpen2020,333,d,61,Theo Proferes,2019PROF01,14.82,17.54
DoncasterOpen2020,333,d,62,Nicholas Archer,2020ARCH01,15.85,17.62
DoncasterOpen2020,333,d,63,Christian Harris,2019HARR08,16.93,17.94
DoncasterOpen2020,333,d,64,Joe Greenland,2019GREE02,15.56,18.01
DoncasterOpen2020,333,d,65,Patrick Drew Dwyer,2019DWYE01,16.16,18.02
DoncasterOpen2020,333,d,66,Luke McRitchie,2019MCRI01,14.78,18.35
DoncasterOpen2020,333,d,67,Danny Morgan,2019MORG10,16.08,19.15
DoncasterOpen2020,333,d,68,Sam Shaw,2016SHAW02,17.23,19.18
DoncasterOpen2020,333,d,69,Andy Nicholls,2015NICH04,15.06,19.69
DoncasterOpen2020,333,d,70,Thomas Lawson,2019LAWS02,18.05,19.8
DoncasterOpen2020,333,d,71,Matthew Dodds,2020DODD02,16.4,19.86
DoncasterOpen2020,333,d,72,Toby Roche,2020ROCH03,17.27,20.03
DoncasterOpen2020,333,d,73,Lucas Jarana,2019JARA03,14.85,20.07
DoncasterOpen2020,333,d,74,Edward Scholey,2020SCHO03,18.4,20.71
DoncasterOpen2020,333,d,75,Mohamed Hani Shahin,2019SHAH22,17.75,21.65
DoncasterOpen2020,333,d,76,Alex Gill,2011GILL02,20.38,21.92
DoncasterOpen2020,333,d,77,David Cooke,2020COOK03,18.08,21.94
DoncasterOpen2020,333,d,78,Hemakesh Muddha,2020MUDD01,21.1,22.36
DoncasterOpen2020,333,d,79,Daniel Billingham,2018BILL03,19.82,22.5
DoncasterOpen2020,333,d,80,Sean Frederick Liad,2020LIAD01,21.78,22.64
DoncasterOpen2020,333,d,81,Archie Jack Crebbin,2019CREB01,20.17,24.12
