Name,Country,Competition,Minimum Time Needed,Current WR,Solve1,Solve2
Leyan Lo,USA,CaltechSpring2005,182.7,179.29,161.54,193.63
Leyan Lo,USA,WC2005,160.47,141.46,157.44,106.47
Jean Pons,France,WC2005,53.32,141.46,125.36,245.7
Leyan Lo,USA,Rutgers2005,108.63,141.46,132.48,183.27
Leyan Lo,USA,CaltechSpring2006,115.04,111.68,98.3,121.7
Leyan Lo,USA,US2006,105.76,103.79,93.31,112.3
Tyson Mao (毛台勝),USA,Berkeley2006,85.74,103.79,102.21,123.42
Rowe Hessler,USA,USOpen2007,17.74,95.74,154.66,114.82
Chris Krueger,USA,USOpen2007,67.03,95.74,95.44,124.75
Rafał Guzewicz,Poland,PolishOpen2007,38.09,95.74,158.27,90.86
Kai Jiptner,Germany,WC2007,58.12,95.74,134.69,94.41
Tyson Mao (毛台勝),USA,CaltechFall2007,69.96,95.74,87.77,129.49
Danyang Chen (陈丹阳),China,BeijingOpen2007,108.84,95.74,70.27,108.11
Tim Habermaas,Germany,BelgianOpen2008,83.79,95.74,110.53,92.9
Alexander Yu,USA,ArmonkSpring2008,57.41,66.05,65.9,74.84
Rafał Guzewicz,Poland,PolishOpen2008,70.05,66.05,73.88,54.22
Ville Seppänen,Finland,TampereOpen2008,86.9,66.05,57.19,54.06
Konrad Stawski,Poland,PoznanOpen2008,19.04,66.05,113.21,65.9
Alexander Yu,USA,DrexelFall2008,58.67,66.05,81.68,57.8
Ville Seppänen,Finland,SwedishCubeDay2008,90.58,66.05,48.05,59.52
Haiyan Zhuang (庄海燕),China,NanjingOpen2008,36.24,66.05,100.13,61.78
Tse-Kan Lin (林哲侃),Taiwan,TaiwanWinterOpen2009,80.5,66.05,64.69,52.96
Alexander Yu,USA,SafeHaven2009,70.5,66.05,65.09,62.56
Haiyan Zhuang (庄海燕),China,BeijingSummerOpen2009,112.23,66.05,49.96,35.96
Haiyan Zhuang (庄海燕),China,GuangdongOpen2009,104.96,66.05,49.75,43.44
Haiyan Zhuang (庄海燕),China,HangzhouOpen2010,64.22,49.35,46.65,37.18
Marcell Endrey,Hungary,HungarianOpen2011,14.74,33.02,44.84,39.48
