Name,Country,Competition,Minimum Time Needed,Current WR,Solve1,Solve2
Zbigniew Zborowski,Poland,PolishOpen2007,58.01,40.67,33.0,31.0
Arnaud van Galen,Netherlands,PolishOpen2007,52.01,40.67,37.0,33.0
Jarosław Krzyżanowski,Poland,PolishOpen2007,34.01,40.67,36.0,52.0
Piotr Kózka,Poland,PolishOpen2007,48.01,40.67,37.0,37.0
Błażej Morgała,Poland,PolishOpen2007,35.01,40.67,37.0,50.0
Michał Robaczyk,Poland,PolishOpen2007,35.01,40.67,37.0,50.0
Mario Laurent,France,LyonSpringOpen2009,58.01,40.67,34.0,30.0
Clément Gallet,France,LyonSpringOpen2009,49.01,40.67,34.0,39.0
Nico Kupfer,Spain,LyonSpringOpen2009,28.01,40.67,60.0,34.0
Julien Rochette,France,LyonSpringOpen2009,48.01,40.67,37.0,37.0
Michael Young,USA,USNationals2009,58.01,40.67,27.0,37.0
Timothy Sun,USA,USNationals2009,51.01,40.67,30.0,41.0
Erik Johnson,USA,USNationals2009,53.01,40.67,32.0,37.0
Justin Adsuara,USA,USNationals2009,43.01,40.67,46.0,33.0
Mike Hughey,USA,USNationals2009,43.01,40.67,33.0,46.0
Shelley Chang,USA,USNationals2009,40.01,40.67,37.0,45.0
Bob Burton,USA,USNationals2009,39.01,40.67,38.0,45.0
Dan Dzoan,USA,USNationals2009,40.01,40.67,39.0,43.0
Raku Watari (渡楽倶),USA,USNationals2009,37.01,40.67,43.0,42.0
Lars Vandenbergh,Belgium,USNationals2009,34.01,40.67,45.0,43.0
Adam Zamora,USA,USNationals2009,31.01,40.67,47.0,44.0
Vincent Sheu,USA,USNationals2009,32.01,40.67,44.0,46.0
Andrew Nelson,USA,USNationals2009,31.01,40.67,45.0,46.0
Kanneti Sae Han (คันธ์เนตี แซ่ห่าน),Thailand,ClermontOpen2009,60.01,40.67,28.0,34.0
Clément Gallet,France,ClermontOpen2009,32.01,40.67,41.0,49.0
Patrick Tran,USA,RenoWinter2010,30.01,40.67,43.0,49.0
Sébastien Auroux,Germany,MontpellierOpen2010,53.01,40.67,30.0,39.0
Clément Gallet,France,MontpellierOpen2010,51.01,40.67,31.0,40.0
Ting Sheng Bao Yang,Spain,MontpellierOpen2010,40.01,40.67,35.0,47.0
Marco Levrero,Italy,MontpellierOpen2010,40.01,40.67,37.0,45.0
Alejandro Riveiro Rodríguez,Spain,MontpellierOpen2010,31.01,40.67,43.0,48.0
Baiqiang Dong (董百强),China,PKUFMC2010,53.01,40.67,37.0,32.0
Shuang Chen (陈霜),China,PKUFMC2010,33.01,35.67,33.0,41.0
Yunqi Ouyang (欧阳韵奇),China,PKUFMC2010,32.01,35.67,40.0,35.0
Yan Xuan (宣炎),China,PKUFMC2010,21.01,35.67,48.0,38.0
Erik Akkersdijk,Netherlands,AlaniaOpen2010,37.01,35.67,40.0,30.0
