Name,Country,Competition,Minimum Time Needed,Current WR,Solve1,Solve2
Hsuan Chang (張璿),Taiwan,TaiwanWinterOpen2009,290.77,292.57,289.13,297.81
Dan Cohen,USA,FortLeeWinter2009,197.23,241.99,237.47,291.27
Dan Cohen,USA,OhioOpen2009,246.17,241.73,234.94,244.08
Michał Halczuk,Poland,PoznanOpen2009,203.32,241.73,284.9,236.97
Bence Barát,Hungary,CzechOpen2009,200.81,241.73,266.77,257.61
Bence Barát,Hungary,MantuaOpen2009,203.19,237.71,250.31,259.63
Michał Halczuk,Poland,WC2009,238.7,237.71,251.28,223.15
Bence Barát,Hungary,WC2009,207.07,237.71,249.03,257.03
Dan Cohen,USA,WC2009,200.17,237.71,230.0,282.96
Bence Barát,Hungary,HungarianOpen2009,227.9,237.71,235.05,250.18
Bence Barát,Hungary,FuglsangparkOpen2009,197.97,237.71,257.36,257.8
Yi Seung-Woo (이승우),Korea,Korea2010,152.37,237.71,280.58,280.18
Michał Halczuk,Poland,PolishOpen2010,220.39,237.71,259.58,233.16
Han-Cyun Chen (陳翰群),Taiwan,TaiwanBigCube2010,217.21,237.71,265.02,230.9
Bence Barát,Hungary,AustrianOpen2010,216.03,223.06,213.25,239.9
Bence Barát,Hungary,PabianiceOpen2010,224.32,218.43,213.53,217.44
Bence Barát,Hungary,PabianiceOpen2010,201.33,218.43,225.78,228.18
Michał Halczuk,Poland,PabianiceOpen2010,182.66,218.43,223.91,248.72
Bence Barát,Hungary,Euro2010,213.66,218.43,211.22,230.41
Bence Barát,Hungary,VCUBESpiel2010,203.56,218.43,208.93,242.8
Bence Barát,Hungary,VCUBESpiel2010,180.93,213.63,226.21,233.75
Michał Halczuk,Poland,LodzOpen2011,223.83,213.63,207.72,209.34
Kam Chor Kin (甘楚健),China,XinXiangSpring2011,211.81,213.63,219.53,209.55
Emily Wang,Canada,CUBEcentric2011,122.29,213.63,242.66,275.94
Michał Halczuk,Poland,PolishNationals2011,183.47,205.1,224.93,206.9
Michał Halczuk,Poland,PolishNationals2011,212.37,205.1,204.72,198.21
Kam Chor Kin (甘楚健),China,GuangzhouCubeDay2011,192.47,205.1,219.03,203.8
Kam Chor Kin (甘楚健),China,SuzhouOpen2011,192.91,205.1,204.21,218.18
Kam Chor Kin (甘楚健),China,SuzhouOpen2011,172.25,205.1,241.71,201.34
Michał Halczuk,Poland,VCubeSpiel2011,169.14,205.1,203.36,242.8
Michał Halczuk,Poland,VCubeSpiel2011,205.13,205.1,205.27,204.9
Bence Barát,Hungary,AustrianOpen2012,187.19,200.47,200.25,213.97
Michał Halczuk,Poland,PolishOpen2012,177.94,200.47,210.15,213.32
Dan Cohen,USA,RiverHillSummer2012,156.92,200.47,227.56,216.93
Michał Halczuk,Poland,SilesiaOpen2012,178.34,200.47,225.36,197.71
Lin Chen (陈霖),China,SuzhouOpen2012,177.21,176.85,179.4,173.94
Lin Chen (陈霖),China,ZhejiangUniversity2013,164.89,176.85,189.44,176.22
Lin Chen (陈霖),China,SMU2013,177.05,176.85,174.43,179.07
Kevin Hays,USA,WC2013,159.18,176.85,191.3,180.07
Bence Barát,Hungary,WC2013,154.66,174.77,184.07,185.58
Feliks Zemdegs,Australia,WC2013,161.5,174.77,187.37,175.44
Michał Halczuk,Poland,WC2013,136.82,174.77,178.72,208.77
Lin Chen (陈霖),China,HefeiOpen2013,159.41,174.77,181.96,182.94
Lin Chen (陈霖),China,ShanghaiSummer2013,178.51,174.77,169.86,175.94
Michał Halczuk,Poland,ChojniceOpen2013,178.33,174.77,172.52,173.46
Bence Barát,Hungary,AustrianBigCube2013,169.74,174.77,182.27,172.3
Feliks Zemdegs,Australia,AustralianNationals2013,164.61,172.19,185.06,166.9
Bence Barát,Hungary,BigCubingItaly2013,141.56,172.09,201.25,173.46
Bence Barát,Hungary,MunichOpen2013,161.84,172.09,168.72,185.71
Bence Barát,Hungary,HungarianOpen2013,165.28,172.09,179.65,171.34
Lin Chen (陈霖),China,ShanghaiSpring2014,176.62,172.09,180.24,159.41
Michał Halczuk,Poland,SLSChorzow2014,163.73,172.09,164.89,187.65
Michał Halczuk,Poland,PolishNationals2014,132.87,172.09,196.42,186.98
Michał Halczuk,Poland,PLSSopot2014,164.24,172.09,188.88,163.15
Lin Chen (陈霖),China,SuzhouOpen2014,162.76,172.09,170.08,183.43
Bence Barát,Hungary,CroatianOpen2014,176.61,172.09,173.73,165.93
Michał Halczuk,Poland,Euro2014,113.65,168.16,192.82,198.01
Bence Barát,Hungary,Euro2014,138.84,168.16,201.13,164.51
Michał Halczuk,Poland,Euro2014,142.36,168.16,183.97,178.15
Mattia Furlan,Italy,Euro2014,133.81,168.16,174.97,195.7
Cezary Rokita,Poland,BigCubeKrasnik2014,114.05,168.16,189.09,201.34
Vladislav Shavelskiy,Russia,CCCAutumnOpen2014,182.41,168.16,163.14,158.93
Feliks Zemdegs,Australia,MelbourneCubeDay2014,139.32,168.16,176.72,188.44
Mattia Furlan,Italy,AustrianBigCubeOpen2014,161.98,168.16,168.28,174.22
Michał Halczuk,Poland,SwidnikOpen2015,171.1,168.03,160.75,172.24
Michał Halczuk,Poland,SLSGliwice2015,149.15,168.03,173.07,181.87
Vladislav Shavelskiy,Russia,MoscowSpringOpen2015,150.15,168.03,176.47,177.47
Michał Halczuk,Poland,PolishOpen2015,162.95,168.03,178.7,162.44
Feliks Zemdegs,Australia,CanberraAutumn2015,144.41,166.85,176.88,179.26
Michał Halczuk,Poland,SpeedDaysKrasnik2015,147.89,162.85,179.57,161.09
Kevin Hays,USA,Indiana2015,152.85,162.85,160.01,175.69
Feliks Zemdegs,Australia,TCGAndFriends2015,163.15,162.85,156.87,168.53
Kevin Hays,USA,WC2015,130.03,153.73,150.35,180.81
Kevin Hays,USA,WC2015,135.55,153.73,163.75,161.89
Feliks Zemdegs,Australia,WC2015,121.75,153.73,176.66,162.78
Vladislav Shavelskiy,Russia,CCCEndofSummer2015,119.57,153.73,171.97,169.65
Vladislav Shavelskiy,Russia,MoscowSouthWestOpen2015,127.86,153.73,169.81,163.52
Michał Halczuk,Poland,PolishChampionship2015,145.57,153.73,164.41,151.21
Vladislav Shavelskiy,Russia,MoscowChristmasOpen2016,138.11,150.14,160.49,151.82
Feliks Zemdegs,Australia,CubingClassic2016,128.32,150.14,164.44,157.66
Lin Chen (陈霖),China,SuzhouOpen2016,152.46,150.14,153.22,144.74
Lin Chen (陈霖),China,AsianChampionship2016,141.5,145.06,144.46,149.22
Feliks Zemdegs,Australia,MelbourneCubeDays2016,132.43,145.06,153.97,148.78
Mattia Furlan,Italy,LjubljanaOpen2016,90.93,145.06,178.1,166.15
Feliks Zemdegs,Australia,CubingClassic2017,137.97,142.55,138.13,151.55
Kevin Hays,USA,AtomicFools2017,129.42,142.55,156.04,142.19
Wong Kin Lok (黃健樂),Hong Kong,WuhanNxNOpen2017,94.96,142.55,164.87,167.82
Wong Kin Lok (黃健樂),Hong Kong,FuzhouOpen2017,128.1,142.55,140.6,158.95
Feliks Zemdegs,Australia,LatAmTourSantiago2017,129.56,142.55,142.83,155.26
Feliks Zemdegs,Australia,LatinAmericaCubingTourChia2017,126.9,138.96,137.76,152.22
Kevin Hays,USA,CubingUSANationals2017,140.2,138.96,136.64,140.04
Feliks Zemdegs,Australia,WC2017,117.88,135.07,148.01,139.32
Kevin Hays,USA,NorthwestChampionships2017,131.59,135.07,142.31,131.31
Kevin Hays,USA,PugetSoundFall2017,134.11,135.07,143.33,127.77
Feliks Zemdegs,Australia,MalaysiaCubeOpen2017,128.42,134.04,142.33,131.37
Feliks Zemdegs,Australia,CanberraSpring2017,132.38,134.04,141.73,128.01
Max Park,USA,BerkeleyFall2017,118.62,134.04,130.03,153.47
Feliks Zemdegs,Australia,MelbourneCubeDays2017,123.34,134.04,131.83,146.95
Feliks Zemdegs,Australia,SydChamps2017,130.35,134.04,144.19,127.58
Kevin Hays,USA,VancouverOpenWinter2018,134.63,134.04,139.0,128.49
Kevin Hays,USA,ThanksFourTheInvite2018,119.24,134.04,146.39,136.49
Max Park,USA,ThanksFourTheInvite2018,127.38,133.12,132.4,139.58
Max Park,USA,SacCubingIII2018,120.61,133.12,133.69,145.06
Max Park,USA,BerkeleyWinter2018,129.39,133.12,132.51,137.46
Kevin Hays,USA,HeartlandChampionships2018,133.47,128.71,122.9,129.76
Kevin Hays,USA,EugeneSpring2018,126.4,128.71,132.65,127.08
Feliks Zemdegs,Australia,PerthAutumn2018,125.2,128.71,125.12,135.81
Kevin Hays,USA,RoseCity2018,113.62,124.32,129.12,130.22
Max Park,USA,WesternChampionship2018,110.75,124.32,120.85,141.36
Feliks Zemdegs,Australia,WCCTFresno2018,121.27,124.32,131.65,120.04
Kevin Hays,USA,WCCTFresno2018,116.64,124.32,136.22,120.1
Max Park,USA,WCCTFresno2018,107.0,117.1,126.71,117.59
Max Park,USA,CubingUSANationals2018,113.44,117.1,120.94,116.92
Feliks Zemdegs,Australia,AsianChampionship2018,106.01,117.1,130.75,114.54
Max Park,USA,SacCubingV2018,108.89,117.1,116.05,126.36
Feliks Zemdegs,Australia,AustralianNationals2018,103.03,117.1,118.18,130.09
Feliks Zemdegs,Australia,SwisscubingCupFinal2018,103.32,117.1,116.61,131.37
Max Park,USA,BUWinter2019,90.42,111.63,124.38,120.09
Max Park,USA,CubingUSANationals2019,93.91,110.1,112.85,123.54
Max Park,USA,HoustonWinter2020,103.63,110.1,109.36,117.31
