Competition,Solves
SwedishChampionship2021,127
ChateauCubing2021,78
EvgeniyLeeMemorial2021,72
PolishChampionship2021,65
ItalianChampionship2021,65
TuamSunday2021,64
FlenLillaManschetten2021,60
ProjectKedzierzynKozle2021,59
SSTKielce2021,58
CubetchaB2021,50
JordanFallOpen2021,50
BrizZonSideOpenIII2021,45
HappyCubingActon2021,44
BrizZonSideOpenII2021,43
GermanSideEvents2021,39
WelcomeBackAgainJkpg2021,37
FloridaReturns2021,36
CopperCountryCubingSummer2021,33
SchwyzSideDay2021,32
SSTRzeszow2021,29
OfflineSchwyzSunday2021,28
DragonCubing2020,27
GACubersReturnB2021,25
LLSIIIv22020,23
MontpellierOpen2021,20
No333FriscoPM2021,20
EmpireStateSummerA2021,19
NewBeginningSantaCruz2021,16
SSTNaprawa2021,15
VestkystCubing2021,14
DanishChampionship2021,13
SzansaCubingOpenWarsaw2021,7
BacktoCubingArequipa2021,2
FinnishFMCChampionship2021,1
