Delegate,Scrambles,E[Moves],4 moves%,5 moves%,6 moves%,7 moves%,8 moves%,9 moves%,10 moves%,11 moves%
Abdullah Gulab,147,8.61,1.36,0.0,1.36,8.84,24.49,50.34,12.93,0.68
Borislav Marchovski,105,8.8,0.95,0.0,3.81,2.86,20.0,50.48,21.9,0.0
Anders Larsson,140,8.7,0.71,0.71,1.43,5.71,26.43,46.43,18.57,0.0
Nathan Dwyer,294,8.75,0.68,0.34,1.36,5.78,22.11,52.38,17.35,0.0
Lauren Clement,168,8.68,0.6,0.0,0.6,7.74,24.4,54.17,12.5,0.0
James Hamory,189,8.79,0.53,0.0,1.59,4.23,23.81,51.32,18.52,0.0
Felix Lee,378,8.74,0.53,0.0,1.06,5.03,26.98,49.21,17.2,0.0
Shresth Shah,385,8.74,0.52,0.0,1.04,7.01,23.12,51.95,16.36,0.0
Stefano Bevacqua,210,8.74,0.48,0.48,0.48,5.24,24.29,54.29,14.76,0.0
Marlon de V. Marques,462,8.8,0.43,0.0,1.52,5.41,22.29,50.65,19.7,0.0
Jason White,252,8.69,0.4,0.4,1.19,5.95,23.81,56.75,11.51,0.0
Liam Orovec,588,8.76,0.34,0.0,2.04,5.27,23.81,50.68,17.86,0.0
Artem Kuminov,294,8.81,0.34,0.0,1.36,5.78,21.09,51.7,19.73,0.0
Angelo Giovanni Licetti León,308,8.82,0.32,0.0,1.62,4.55,24.03,47.73,21.75,0.0
Cristian Ezequiel Vega,328,8.7,0.3,0.0,1.52,7.32,26.22,48.17,16.16,0.3
Stepan Dzhurylo (Степан Джурило),686,8.76,0.29,0.58,1.17,5.69,23.03,52.04,16.91,0.29
Chan Tak Chuen (陳德泉),343,8.63,0.29,0.0,2.62,9.33,23.62,49.85,14.29,0.0
Jeremy Fleischman,721,8.7,0.28,0.0,0.97,9.85,23.3,48.82,16.5,0.28
Ray Li,784,8.74,0.26,0.26,1.66,5.87,23.47,52.17,16.33,0.0
Kārlis Iskrovs,378,8.72,0.26,0.26,0.53,5.82,26.46,52.38,14.29,0.0
Andrey Robota,819,8.76,0.24,0.12,1.22,6.96,23.69,49.21,18.56,0.0
Vladislav Pyatnitsa (Владислав Пятница),413,8.7,0.24,0.48,2.18,4.84,25.18,52.3,14.77,0.0
Alexander Katyukov (Александр Катюков),448,8.73,0.22,0.22,1.56,6.7,21.21,55.36,14.73,0.0
Matthew Dickman,896,8.7,0.22,0.56,1.56,7.14,22.54,52.9,15.07,0.0
Leandro Vasconcellos Alleoni,476,8.76,0.21,0.63,1.05,5.88,24.16,49.16,18.7,0.21
Nathan Seeto,504,8.7,0.2,0.0,1.79,7.94,24.4,49.21,16.47,0.0
Rui-Jun Liu (劉睿鈞),987,8.76,0.2,0.3,1.22,5.57,23.0,53.9,15.7,0.1
João Gabriel de Aguiar Milani,504,8.79,0.2,0.4,0.6,5.16,26.39,47.62,19.64,0.0
Shelley Chang,1029,8.75,0.19,0.49,0.87,6.03,23.32,53.45,15.55,0.1
Andreas Pung,560,8.71,0.18,0.89,0.89,5.71,27.32,48.57,16.43,0.0
Lester Santos,553,8.75,0.18,0.54,1.45,7.59,20.43,51.9,17.72,0.18
David Woner,567,8.81,0.18,0.18,1.23,4.76,23.46,51.15,18.52,0.53
Alberto Masó Molina,567,8.71,0.18,0.18,0.88,9.52,22.57,49.91,16.58,0.18
Chris Tran,1190,8.79,0.17,0.17,1.01,6.22,23.03,50.59,18.82,0.0
Gaurav Taneja,1148,8.76,0.17,0.26,1.05,5.31,24.13,52.87,16.11,0.09
Mihai Căpăţinescu,1204,8.73,0.17,0.25,1.16,5.98,25.58,51.16,15.7,0.0
José Leonardo Chaparro Prieto,1169,8.73,0.17,0.26,1.03,7.96,23.61,50.04,16.77,0.17
Donovan Hale,602,8.81,0.17,0.0,0.5,7.31,21.93,50.5,19.6,0.0
Vasily Stasyev,1862,8.75,0.16,0.27,1.45,6.28,24.27,49.57,17.94,0.05
Sarah Strong,658,8.74,0.15,0.15,1.82,5.02,24.62,52.74,15.5,0.0
Cady Shields,658,8.74,0.15,0.15,1.67,6.38,23.71,51.67,16.11,0.15
Artem Melikian (Артем Мелікян),656,8.7,0.15,0.15,1.37,7.32,24.54,51.98,14.48,0.0
Kerrie Jarman,658,8.75,0.15,0.0,1.82,7.6,21.73,50.91,17.78,0.0
Matteo Colombo,672,8.82,0.15,0.0,0.74,5.51,21.58,54.17,17.86,0.0
Grzegorz Łuczyna,1428,8.78,0.14,0.07,1.12,5.53,23.04,53.57,16.53,0.0
Piotr Kózka,714,8.81,0.14,0.42,0.84,4.06,24.37,51.82,18.35,0.0
Bob Burton,756,8.72,0.13,0.53,1.32,8.07,21.16,52.51,16.27,0.0
Tobias Peter,791,8.78,0.13,0.13,0.88,7.33,21.74,51.45,18.2,0.13
Cristian Franco Terrazas Flores,854,8.73,0.12,0.35,1.99,5.85,23.89,51.52,16.28,0.0
Michael Young,1694,8.8,0.12,0.24,1.42,5.19,22.02,53.48,17.3,0.24
Matteo Provasi,1820,8.78,0.11,0.22,1.48,5.82,22.36,52.47,17.53,0.0
Ilya Tsiareshka,3486,8.77,0.11,0.32,1.35,5.59,23.9,51.23,17.47,0.03
İskender Aznavur,952,8.82,0.11,0.21,0.95,5.88,20.69,53.89,18.17,0.11
Chia-Leo Lin (林珈樂),1792,8.74,0.11,0.45,1.34,5.64,24.22,52.12,16.07,0.06
Ujjawal Pabreja,1015,8.81,0.1,0.0,1.08,5.81,21.58,53.3,18.13,0.0
Piotr Trząski,987,8.74,0.1,0.0,1.52,6.69,24.01,50.76,16.92,0.0
Lorenzo Vigani Poli,2051,8.77,0.1,0.24,1.37,5.85,22.43,53.1,16.92,0.0
Diego Alejandro Casas Jimenez,1036,8.75,0.1,0.39,1.06,5.69,24.81,51.25,16.7,0.0
Reto Bubendorf,980,8.69,0.1,0.31,1.22,7.55,26.94,47.65,16.22,0.0
Roman Ostapenko (Роман Остапенко),957,8.72,0.1,0.42,1.04,6.58,25.39,50.57,15.67,0.21
Areli Rubí Gordillo Martínez,1912,8.76,0.1,0.1,1.36,5.75,25.0,50.42,17.15,0.1
Shubhayan Kabir,3059,8.75,0.1,0.23,1.5,5.69,23.57,53.02,15.82,0.07
Niko Ronkainen,1008,8.75,0.1,0.2,1.09,6.65,23.41,52.88,15.58,0.1
Dave Campbell,2114,8.74,0.09,0.43,1.47,6.1,23.94,51.09,16.84,0.05
Nikolay Masson (Николай Массон),1127,8.8,0.09,0.09,1.24,5.68,22.72,51.82,18.28,0.09
Adrián Ramírez,2233,8.78,0.09,0.45,0.81,5.96,23.15,52.35,17.06,0.13
Oscar Alberto Ceballos Contreras,1078,8.76,0.09,0.19,1.02,7.79,21.52,52.32,17.07,0.0
Keaton Ellis,1057,8.75,0.09,0.38,1.7,6.53,22.61,51.37,17.31,0.0
Ulrik Bredland,1148,8.76,0.09,0.17,1.39,6.18,23.61,51.39,17.07,0.09
Serhii Koksharov (Сергій Кокшаров),1092,8.74,0.09,0.37,1.56,6.04,24.08,50.73,17.03,0.09
Calvin Nielson,1204,8.71,0.08,0.17,1.33,6.15,26.58,50.42,15.2,0.08
Przemysław Rogalski,1274,8.8,0.08,0.0,1.49,5.65,23.86,49.29,19.47,0.16
Daniel Wallin,1225,8.77,0.08,0.16,1.06,5.47,24.82,51.02,17.39,0.0
Kit Clement,2408,8.76,0.08,0.25,1.08,6.77,23.13,51.0,17.57,0.12
Anders Berggren,1260,8.76,0.08,0.24,1.35,5.63,24.6,50.56,17.46,0.08
Daniel Vædele Egdal,1295,8.75,0.08,0.39,1.24,5.95,23.71,52.51,16.06,0.08
Alex Asbery,1213,8.78,0.08,0.25,1.65,5.94,21.35,52.84,17.81,0.08
Katie Hull,1316,8.75,0.08,0.15,1.14,6.99,23.25,52.2,16.03,0.15
Danyang Chen (陈丹阳),1281,8.76,0.08,0.16,1.33,6.4,23.58,51.44,17.02,0.0
Shubham Kumar,1309,8.72,0.08,0.38,1.6,7.49,23.22,50.42,16.81,0.0
Adam Polkowski,2919,8.76,0.07,0.14,1.4,6.17,24.29,50.09,17.75,0.1
Henrik Buus Aagaard,1512,8.77,0.07,0.4,1.32,5.29,23.54,52.18,17.13,0.07
Baocheng Wu (吴宝城),1463,8.75,0.07,0.14,1.44,5.95,25.09,49.83,17.43,0.07
Luis J. Iáñez,1757,8.78,0.06,0.11,1.25,6.2,23.22,51.28,17.81,0.06
Kristopher De Asis,1739,8.78,0.06,0.23,1.15,6.15,22.66,52.16,17.6,0.0
Javier Tirado Ortiz,1736,8.77,0.06,0.29,1.27,6.11,22.93,52.3,16.99,0.06
Alexander Olleta del Molino,1638,8.79,0.06,0.06,1.1,5.74,22.83,53.6,16.54,0.06
Rodrigo Ugarte,1561,8.74,0.06,0.19,1.67,5.51,25.82,50.1,16.53,0.13
Laura Ohrndorf,1778,8.75,0.06,0.39,1.12,5.85,24.97,50.9,16.65,0.06
Somya Srivastava,2191,8.73,0.05,0.23,1.55,6.39,24.37,51.39,16.02,0.0
James Hildreth,2135,8.76,0.05,0.33,1.5,6.32,23.42,50.82,17.42,0.14
Oleg Gritsenko,1869,8.77,0.05,0.27,1.12,6.21,23.65,50.99,17.66,0.05
Rafael de Andrade Cinoto,2182,8.75,0.05,0.32,1.65,6.51,23.14,50.73,17.51,0.09
Daniel Sheppard,1922,8.76,0.05,0.36,1.35,5.62,24.71,49.84,18.0,0.05
Niki Placskó,1932,8.76,0.05,0.36,1.29,5.75,23.55,52.9,16.05,0.05
Jacob Ambrose,2142,8.76,0.05,0.37,0.98,7.05,22.97,51.31,17.13,0.14
Hari Anirudh,2758,8.77,0.04,0.18,1.2,6.2,23.89,50.73,17.69,0.07
Tim Reynolds,2359,8.75,0.04,0.25,1.19,7.97,22.04,51.0,17.34,0.17
Sébastien Auroux,2611,8.74,0.04,0.54,1.23,6.01,24.47,51.21,16.43,0.08
Natán Riggenbach,2674,8.77,0.04,0.26,1.46,5.72,23.75,51.46,17.24,0.07
James Molloy,2475,8.77,0.04,0.32,1.41,5.21,25.01,50.3,17.54,0.16
Olivér Perge,2443,8.73,0.04,0.29,1.56,5.77,24.76,52.56,15.02,0.0
Ming Zheng (郑鸣),4476,8.74,0.02,0.36,1.3,6.32,24.06,51.63,16.22,0.09
Akula Pavan Kumar,4998,8.75,0.02,0.16,1.3,6.48,23.77,51.52,16.73,0.02
