Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Ryan Patricio,USA,CaltechFall2006,23.09,24.03,25.73,22.95,22.91,26.47,23.41
Dan Dzoan,USA,Berkeley2006,23.21,24.03,24.88,24.37,22.42,22.84,25.2
Chris Dzoan,USA,SanDiego2007,20.2,21.15,22.46,25.81,19.8,19.61,21.19
Dan Dzoan,USA,CaltechSummer2007,20.54,21.15,21.89,20.44,21.12,24.28,20.07
Chris Dzoan,USA,CaltechSummer2007,20.96,21.15,20.23,25.06,19.65,22.26,20.96
Rama Temmink,Netherlands,DutchOpen2007,19.71,21.13,23.23,20.41,19.75,18.97,23.65
Rama Temmink,Netherlands,UKOpen2007,20.35,20.91,19.81,22.66,22.81,18.13,20.26
Dan Dzoan,USA,BerkeleyFall2007,19.32,20.91,23.01,19.44,18.25,27.08,20.28
Takuma Akutsu (阿久津拓真),Japan,Ibaraki2007,20.19,20.91,21.49,27.33,19.34,20.66,20.58
Yu Nakajima (中島悠),Japan,KawasakiOpen2008,20.65,20.69,20.01,28.16,20.85,21.21,19.88
Rama Temmink,Netherlands,BelgianOpen2008,19.83,20.66,21.62,19.34,21.02,21.81,19.13
Mátyás Kuti,Hungary,BelgianOpen2008,20.47,20.66,20.12,19.55,20.9,20.96,25.59
Dan Dzoan,USA,DiscoveryScience2008,18.73,20.58,23.07,17.53,19.46,23.86,19.21
Ryan Patricio,USA,SanDiegoOpen2008,19.79,19.88,15.07,21.69,22.88,14.8,25.18
Rama Temmink,Netherlands,PolishOpen2008,19.71,19.88,16.64,21.5,-0.01,16.13,21.5
Rama Temmink,Netherlands,CzechOpen2008,19.54,19.88,20.17,19.15,20.59,19.61,19.86
Yumu Tabuchi (田渕雄夢),Japan,TokyoOpen2008,19.68,19.88,18.87,20.91,19.86,22.41,18.27
Yu Nakajima (中島悠),Japan,TokyoOpen2008,19.56,19.88,15.53,23.05,21.06,14.56,23.55
Milán Baticz,Hungary,Euro2008,19.77,19.84,17.92,19.69,17.71,23.69,21.91
Takumi Yoshida (吉田匠),Japan,JapanOpen2008,18.93,19.07,18.65,18.22,21.05,19.03,19.53
Rama Temmink,Netherlands,Germany2008,19.07,19.07,17.29,24.46,18.52,17.28,21.4
Harris Chan,Canada,TorontoOpenFall2008,18.83,19.07,17.53,22.28,16.81,20.18,19.5
Yumu Tabuchi (田渕雄夢),Japan,JapanOpen2009,18.04,18.29,17.07,19.71,18.09,53.02,16.31
Gunnar Krig,Sweden,SwedishOpen2009,17.08,18.29,19.62,17.69,17.56,15.99,24.38
Grzegorz Dzikiewicz,Poland,PolishOpen2009,18.07,18.29,17.82,23.38,17.84,17.16,19.21
Yumu Tabuchi (田渕雄夢),Japan,WC2009,17.39,18.29,18.93,19.97,17.5,16.22,18.44
