Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Ron van Bruchem,Netherlands,BelgianOpen2006,62.67,64.63,62.28,60.76,72.01,56.41,70.85
Mátyás Kuti,Hungary,CzechOpen2007,57.48,59.21,60.4,58.84,62.62,58.39,55.2
Kim Hyung-Sub,Korea,KCRCBusan2007,58.12,59.21,58.18,73.86,56.7,62.75,54.9
Mátyás Kuti,Hungary,SwedishOpen2007,59.2,59.21,55.81,68.13,61.3,55.77,60.52
Mátyás Kuti,Hungary,UKOpen2007,55.48,58.15,54.63,61.43,46.63,59.37,60.45
Marc van Beest,Netherlands,Netherlands2007,56.87,58.15,56.93,67.52,53.08,64.09,53.43
Mátyás Kuti,Hungary,SwedishCubeDay2007,56.89,58.15,51.47,62.05,47.68,64.46,60.93
Kim Hyung-Sub,Korea,KCAKoreaOpen2008,55.63,58.15,57.47,72.93,63.3,49.91,53.68
Erik Akkersdijk,Netherlands,GermanOpen2008,53.62,53.99,48.94,57.22,58.03,47.84,55.81
Piotr Kózka,Poland,PabianiceOpen2008,53.82,53.99,50.28,61.19,58.6,53.09,49.78
Erik Akkersdijk,Netherlands,PolishOpen2008,53.77,53.99,53.7,54.08,54.19,53.03,56.58
Erik Akkersdijk,Netherlands,DutchMasters2008,52.01,52.31,44.62,43.72,63.31,49.0,64.4
Han-Cyun Chen (陳翰群),Taiwan,SouthTaiwanSummerOpen2008,51.31,52.31,52.05,69.0,49.36,49.05,55.52
Yu Nakajima (中島悠),Japan,JapanOpen2008,48.66,49.03,47.5,49.66,53.27,46.4,49.93
Erik Akkersdijk,Netherlands,Germany2008,48.26,49.03,49.4,47.08,47.78,52.84,49.91
Erik Akkersdijk,Netherlands,Netherlands2008,47.29,49.03,48.58,43.36,57.66,44.65,53.86
Han-Cyun Chen (陳翰群),Taiwan,TaiwanWinterOpen2009,45.31,47.94,48.1,40.21,49.31,59.71,46.41
Erik Akkersdijk,Netherlands,BeneluxOpen2009,47.47,47.94,45.45,63.4,47.03,44.03,51.34
Adam Polkowski,Poland,Poland2009,46.36,47.94,46.77,50.72,42.02,46.9,50.15
Erik Akkersdijk,Netherlands,BelgianOpen2009,47.52,47.94,44.92,47.22,43.65,51.68,-0.01
Dan Cohen,USA,UPennSpring2009,47.42,47.94,44.37,59.55,50.77,48.68,42.81
Shuhei Omura (大村周平),Japan,OsakaOpen2009,46.92,47.94,49.41,46.36,68.69,46.83,47.58
Yumu Tabuchi (田渕雄夢),Japan,OsakaOpen2009,45.58,47.94,49.17,49.13,50.63,42.08,45.52
Erik Akkersdijk,Netherlands,DanishOpen2009,43.27,47.94,54.14,44.34,45.34,40.13,56.94
Erik Akkersdijk,Netherlands,GermanOpen2009,43.68,47.94,52.62,48.8,42.4,54.44,39.83
Patrick Jameson,USA,CaptainsCove2009,47.77,47.94,44.14,47.05,43.63,53.93,52.63
Shuhei Omura (大村周平),Japan,JapanOpen2009,44.59,45.85,43.05,51.69,48.78,39.28,45.72
Haixu Zhang (张海旭),China,ShenzhenSummerOpen2009,44.28,45.32,46.42,45.41,44.13,48.71,43.3
Erik Akkersdijk,Netherlands,PolishOpen2009,42.02,43.43,45.83,49.15,41.9,42.56,41.61
Robert Yau,United Kingdom,BristolOpen2009,42.81,43.43,42.57,45.47,40.72,42.25,48.58
