Name,Country,Missed Chances
Ron van Bruchem,Netherlands,1
Mátyás Kuti,Hungary,4
Kim Hyung-Sub,Korea,2
Marc van Beest,Netherlands,1
Erik Akkersdijk,Netherlands,11
Piotr Kózka,Poland,1
Han-Cyun Chen (陳翰群),Taiwan,4
Yu Nakajima (中島悠),Japan,1
Adam Polkowski,Poland,1
Dan Cohen,USA,3
Shuhei Omura (大村周平),Japan,3
Yumu Tabuchi (田渕雄夢),Japan,1
Patrick Jameson,USA,1
Haixu Zhang (张海旭),China,2
Robert Yau,United Kingdom,1
Feliks Zemdegs,Australia,19
Giovanni Contardi,Italy,2
Sebastian Weyer,Germany,21
Mats Valk,Netherlands,2
Seung Hyuk Nahm (남승혁),Korea,2
Max Park,USA,9
