Name,Country,Missed Chances
David Woner,USA,1
Javier Tirado Ortiz,Spain,3
Taki Sugimoto (杉本太暉),Japan,1
Maarten Smit,Netherlands,4
Ernesto Fernández Regueira,Spain,1
Daniel Sheppard,United Kingdom,1
Sam Zhixiao Wang (王志骁),China,2
Pierre Bouvier,France,1
Prin Kijviwattanakarn (ปริญ กิจวิวัฒนการ),Thailand,1
Wojciech Knott,Poland,10
Evan Liu,USA,3
Yunho Nam (남윤호),Korea,1
Nathaniel Berg,Sweden,1
Hubert Hanusiak,Poland,1
Tairan Zhong (钟泰然),China,10
Suen Ming Chi (孫銘志),Hong Kong,1
Yunhao Lou (娄云皓),China,3
