Name,Country,Missed Chances
Kåre Krig,Sweden,1
Piotr Kózka,Poland,1
Mátyás Kuti,Hungary,1
Tomasz Kiedrowicz,Poland,1
Yohei Oka (岡要平),Japan,7
Oscar Roth Andersen,Denmark,3
Riadi Arsandi,Indonesia,1
Jakub Wolniewicz,Poland,1
Drew Brads,USA,11
Jules Desjardin,France,7
Yi Wang (王旖),China,1
Dohyun Kim (김도현),Korea,2
Rafał Waryszak,Poland,1
Livia Kleiner,USA,1
Tymon Kolasiński,Poland,7
Junqi Feng (冯骏骐),China,1
John Gaynor,USA,1
Luke Van Laningham,USA,1
Simon Kellum,USA,1
Dominik Górny,Poland,1
Kerry Creech,USA,1
