Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Abhishek Sathyanarayanan,India,TelesisOpen2014,12.46,13.7,15.33,13.05,15.32,12.72,11.62
Velidi Venkata Jagan Mohana Murali Krishna,India,TelesisOpen2014,13.22,13.7,14.2,12.77,13.75,13.15,19.59
Abhishek Sathyanarayanan,India,TelesisOpen2014,13.68,13.7,12.69,14.31,27.13,14.1,12.62
Santosh Tantravahi,India,TelesisOpen2014,12.21,13.7,13.68,-0.01,11.39,9.21,16.03
Andreas Pohl,Germany,DuisburgWinter2014,9.71,10.1,8.68,8.33,15.24,7.52,13.29
Sébastien Auroux,Germany,DuisburgWinter2014,10.03,10.1,8.86,8.64,11.91,10.24,11.2
John Brechon,USA,BlizzardTown2014,7.21,7.46,7.04,7.6,10.81,6.29,7.74
Jan Bentlage,Germany,FrankfurtCubeDays2014,7.24,7.34,7.21,7.13,7.68,13.15,6.91
Ivan Zabrodin,Russia,KharkivOpen2014,7.23,7.34,7.02,6.91,6.69,8.97,8.09
Ihor Bilchenko (Ігор Більченко),Ukraine,KharkivOpen2014,6.93,7.34,6.11,7.28,8.63,4.88,8.8
Nick Camillone,USA,CCFCWinter2014,7.29,7.34,6.36,6.21,9.13,7.19,8.47
Mharr Justhinne Ampong,Philippines,PangasinanOpen2014,4.85,6.17,7.16,4.66,6.69,7.5,3.21
Jonatan Kłosko,Poland,SLSGliwice2014,5.54,6.17,6.73,4.85,6.0,5.78,7.12
Daniel Sheppard,United Kingdom,UniversityofNottingham2014,5.09,5.61,4.36,7.55,4.92,10.39,2.8
Bartłomiej Sordyl,Poland,SLSTarnowskieGory2014,5.54,5.61,5.29,5.09,5.96,9.14,5.58
Patryk Szewczyk,Poland,SLSTarnowskieGory2014,5.23,5.61,5.63,4.48,6.15,7.82,5.05
Jonatan Kłosko,Poland,SLSChorzow2014,4.41,4.58,3.36,-0.01,4.0,6.38,2.84
Antoine Cantin,Canada,NationalCapitalRegion2014,4.16,4.58,5.22,4.21,3.97,6.25,4.31
Brandon Harnish,USA,BASC32014,4.41,4.58,4.14,3.89,5.71,18.07,3.64
Rami Sbahi,USA,Michigan2014,4.22,4.58,4.69,5.31,3.61,4.58,4.47
Jonatan Kłosko,Poland,KielceCubeAttack2014,4.3,4.58,3.03,2.19,6.96,3.75,8.85
Rami Sbahi,USA,USNationals2014,4.52,4.58,3.47,8.26,6.74,3.3,3.53
SeungBeom Cho (조승범),Korea,USNationals2014,4.55,4.58,3.65,6.76,3.56,6.1,3.99
Jayden McNeill,Australia,LifestyleSeasonsWinter2014,4.44,4.58,3.63,5.33,6.55,4.78,3.22
Xiao Hu (胡霄),China,ShantouOpen2014,4.05,4.58,4.52,6.3,2.92,8.24,2.92
Jiacheng Peng (彭家诚),China,ShantouOpen2014,4.52,4.58,3.98,5.37,7.44,4.39,3.8
Daniel Wallin,Sweden,Euro2014,4.14,4.58,4.76,3.44,7.7,4.4,4.58
Kennan LeJeune,USA,Wiscube2014,3.11,3.15,2.64,2.7,4.46,4.11,2.52
Jonatan Kłosko,Poland,SantaClausRace2014,3.02,3.15,2.21,4.32,2.92,4.33,1.81
Jayden McNeill,Australia,CanberraAutumn2015,2.86,3.1,3.23,2.86,3.37,2.52,3.21
Jonatan Kłosko,Poland,SLSSosnowiec2015,2.97,2.99,2.31,3.29,2.25,3.4,3.37
