Name,Country,Missed Chances
Jianwei Zhu (朱剑伟),China,1
Piotr Michał Padlewski,Poland,3
Simon Crawford,United Kingdom,4
Bingliang Li (李炳良),China,6
Emanuel Rheinert,Germany,2
Brandon Lin,USA,2
Rui-Jun Liu (劉睿鈞),Taiwan,1
Sophie Chan,USA,1
Zijia Feng (冯子甲),China,2
Charlie Stark,United Kingdom,3
Daniel Karnaukh,USA,2
Diego Brizuela Crespo,Mexico,1
Martin Vædele Egdal,Denmark,1
Rasmus Stub Detlefsen,Denmark,9
Firstian Fushada (符逢城),Indonesia,1
Anuar Miguel Abib Onofre,Brazil,1
Michał Krasowski,Poland,4
Max Siauw,USA,1
