Name,Country,Missed Chances
Gunnar Krig,Sweden,2
Gustav Fredell,Sweden,1
Anthony Hsu,USA,1
Cory Loviglio,USA,1
Milán Baticz,Hungary,5
Łukasz Ciałoń,Poland,5
Mátyás Kuti,Hungary,1
Shuhei Omura (大村周平),Japan,1
Phil Thomas,USA,3
Edouard Chambon,France,3
Erik Akkersdijk,Netherlands,2
Isaac Wappes,USA,1
Sam Boyles,USA,1
Rowe Hessler,USA,3
Michał Robaczyk,Poland,1
Bence Barát,Hungary,1
Justin Jaffray,Canada,2
Philippe Virouleau,France,1
Feliks Zemdegs,Australia,5
Anthony Brooks,Belize,1
Mats Valk,Netherlands,1
Christopher Olson,USA,11
Austin Reed,USA,1
Cameron Stollery,Australia,8
Bill Wang,Canada,2
Louis Cormier,Canada,1
Edward Lin,USA,1
Yinghao Wang (王鹰豪),China,4
Michał Pleskowicz,Poland,1
Carlos Méndez García-Barroso,Spain,1
Alexey Oblaukhov,Russia,1
Robert Yau,United Kingdom,1
Rami Sbahi,USA,3
Lucas Etter,USA,9
Jayden McNeill,Australia,3
Bennet Wichmann,Germany,2
Kevin Gerhardt,Germany,3
Ray Vince Ong,Canada,1
Matěj Mužátko,Czech Republic,1
Jiekang Pan (潘杰康),China,1
Brian Johnson,USA,3
Christopher Chi,USA,2
Martin Vædele Egdal,Denmark,6
Antonie Paterakis,Greece,6
Andy Denney,USA,2
Nicolás Sánchez,USA,1
Maciej Czapiewski,Poland,7
Will Callan,USA,4
Luke Van Laningham,USA,2
Mattias Uvesten,Sweden,1
Rasmus Stub Detlefsen,Denmark,1
Jiazhou Li (李佳洲),China,1
Zayn Khanani,USA,4
