Name,Country,Missed Chances
Zbigniew Zborowski,Poland,1
Arnaud van Galen,Netherlands,1
Jarosław Krzyżanowski,Poland,1
Piotr Kózka,Poland,2
Błażej Morgała,Poland,1
Michał Robaczyk,Poland,1
Mario Laurent,France,4
Clément Gallet,France,11
Nico Kupfer,Spain,1
Julien Rochette,France,1
Michael Young,USA,8
Timothy Sun,USA,4
Erik Johnson,USA,2
Justin Adsuara,USA,3
Mike Hughey,USA,3
Shelley Chang,USA,1
Bob Burton,USA,1
Dan Dzoan,USA,2
Raku Watari (渡楽倶),USA,1
Lars Vandenbergh,Belgium,1
Adam Zamora,USA,1
Vincent Sheu,USA,3
Andrew Nelson,USA,1
Kanneti Sae Han (คันธ์เนตี แซ่ห่าน),Thailand,2
Patrick Tran,USA,1
Sébastien Auroux,Germany,52
Ting Sheng Bao Yang,Spain,3
Marco Levrero,Italy,1
Alejandro Riveiro Rodríguez,Spain,2
Baiqiang Dong (董百强),China,22
Shuang Chen (陈霜),China,3
Yunqi Ouyang (欧阳韵奇),China,4
Yan Xuan (宣炎),China,2
Erik Akkersdijk,Netherlands,10
Berit Brüster,Germany,1
Jack Moseley,Canada,1
Chester Lian,Malaysia,3
Chris Hardwick,USA,1
Michael Gottlieb,USA,1
Sagar Laud,USA,1
Dan Cohen,USA,1
Forte Shinko,Canada,1
Bruce Norskog,USA,1
Andy Tsao,USA,1
Lorenzo Vigani Poli,Italy,2
David Gomes,USA,1
Stanley Wong,USA,1
Teemu Tiinanen,Finland,1
Joey Gouly,United Kingdom,1
Mateusz Kurek,Poland,1
Michał Pleskowicz,Poland,1
Michał Matczak,Poland,1
Marcin Sroczyński,Poland,1
Marek Kurcyus,Poland,1
Simon Westlund,Sweden,3
Xiaozhe Yan (晏骁哲),China,1
Jiajun Li (李嘉俊),China,1
Claudio Müller,Switzerland,1
Daniel Sheppard,United Kingdom,9
Lars Vennike Nielsson,Denmark,1
Jonathan Midjord Shapira,Denmark,1
Gunnar Krig,Sweden,1
Christian Ferm,Sweden,1
Milán Baticz,Hungary,2
Bence Barát,Hungary,18
Dániel Varga,Hungary,2
Auguste Olivry,France,2
Niklas Spies,Germany,1
Haowei Fan (樊浩玮),China,1
Yiliang Lu (路义亮),China,1
François Courtès,France,1
Tim Reynolds,USA,4
Lucas Garron,Germany,2
Stefan Pochmann,Germany,2
Emile Compion,South Africa,1
Anthony Brooks,Belize,1
Cyrus Colah,USA,1
Tomoaki Okayama (岡山友昭),Japan,18
Takumi Yoshida (吉田匠),Japan,1
Henrik Buus Aagaard,Denmark,2
Oscar Roth Andersen,Denmark,1
Loïc Petit,France,2
Guillain Potron,France,1
Jakub Cabaj,Poland,1
Antoine Simon-Chautemps,France,1
Radu Făciu,Romania,1
Yucheng Lu (陆宇澄),China,1
Lee Poon Kit (李本杰),China,1
Mulun Yin (阴目仑),China,1
Yinghao Wang (王鹰豪),China,1
Yiwei Wang (王祎玮),China,1
Quentin Lefebvre,France,2
Alexander Olleta del Molino,Spain,9
Thomas Watiotienne,France,1
Javier Cabezuelo Sánchez,Spain,5
Steven Xu,USA,2
Rowe Hessler,USA,1
Guus de Wit,Netherlands,1
Maarten Smit,Netherlands,1
Ralph Eikelenberg,Netherlands,1
Mats Valk,Netherlands,8
Linus Frész,Germany,14
Rob Stuart,United Kingdom,2
Anthony Hsu,USA,1
Julian David,Canada,3
Guus Razoux Schultz,Netherlands,2
Jan Bentlage,Germany,29
Marcel Peters,Germany,24
Hippolyte Moreau,France,2
Yuki Tanaka (田中悠樹),Japan,1
Hideki Niina (新名秀樹),Japan,1
Takayuki Ookusa (大艸尊之),Japan,1
Sebastiano Tronto,Italy,12
Erik Jernqvist,Sweden,1
Taku Yanai (矢内拓),Japan,1
Olivér Perge,Hungary,6
Seyyed Mohammad Hossein Fatemi (سید محمد حسین فاطمی),Iran,1
John Brechon,USA,2
Marcin Stachura,Poland,7
Emanuel Rheinert,Germany,9
Blake Thompson,USA,2
Walker Welch,USA,25
Mark Boyanowski,USA,37
Ryan DeLine,USA,13
Shuto Ueno (上野柊斗),Japan,10
Nikhil Mande,India,1
Anton Krokhmal (Антон Крохмаль),Ukraine,3
Prakhar Gupta,India,2
Cale Schoon,USA,13
Dmitry Dobrjakov,Russia,1
Jayden McNeill,Australia,7
Feliks Zemdegs,Australia,3
João Pedro Batista Ribeiro Costa,Brazil,11
Janne Lehtimäki,Finland,1
Evan Liu,USA,1
Kit Clement,USA,14
Rami Sbahi,USA,1
Tomáš Novotný,Czech Republic,1
Bence János Csuti,Hungary,3
Matěj Grohmann,Czech Republic,8
Diego Meneghetti,Brazil,1
Jeremy Fleischman,USA,1
Grzegorz Łuczyna,Poland,4
Bo Huang (黄镈),China,5
Yunke Zhang (张云柯),China,5
Ravi Fernando,USA,1
Xuyang Zhang (张煦阳),China,2
Jiejie Du (杜杰杰),China,5
Qijun Miao (缪其隽),China,1
Minato Imai (今井港),Japan,1
Reto Bubendorf,Switzerland,18
Wojciech Szatanowski,Poland,1
Pavel Galaktionov,Russia,1
Robert Yau,United Kingdom,6
Fritz Löhr,Germany,2
Yiwei Liu (刘伊玮),China,14
Niko Ronkainen,Finland,3
Ziheng Ma (马子恒),China,7
Serhii Koksharov (Сергій Кокшаров),Ukraine,4
Brandon Harnish,USA,3
Serhii Mormul (Сергій Мормуль),Ukraine,2
Peiyan Li (利沛焰),China,1
Laura Ohrndorf,Germany,6
AJ Blair,USA,1
ChoongMyoung Lee (이충명),Korea,1
Cornelius Dieckmann,Germany,1
Artem Melikian (Артем Мелікян),Ukraine,1
Tom Nelson,New Zealand,1
Wong Chong Wen (黄崇文),Singapore,14
Oliver Fritz,Germany,1
Benjamin Costantini,USA,1
Andrew Nathenson,USA,8
Kevin Matthews,Canada,1
Raymond Goslow,USA,1
Alexandre Henrique Afonso Campos,Brazil,5
Dávid Balog,Hungary,2
Jacob Ambrose,USA,1
Piotr Kuchta,Poland,2
Ben Whitmore,United Kingdom,1
Harry Savage,United Kingdom,8
Tomoyuki Hiraide (平出智之),Japan,1
Wong Kin Lok (黃健樂),Hong Kong,2
Saeed Mostafavi Layegh (سعید مصطفوی لایق),Iran,2
