Name,Country,Missed Chances
Ryan Patricio,USA,2
Dan Dzoan,USA,4
Chris Dzoan,USA,3
Rama Temmink,Netherlands,6
Takuma Akutsu (阿久津拓真),Japan,1
Yu Nakajima (中島悠),Japan,2
Mátyás Kuti,Hungary,1
Yumu Tabuchi (田渕雄夢),Japan,3
Milán Baticz,Hungary,1
Takumi Yoshida (吉田匠),Japan,1
Harris Chan,Canada,1
Gunnar Krig,Sweden,1
Grzegorz Dzikiewicz,Poland,1
Piti Pichedpan (ปิติ พิเชษฐพันธ์),Thailand,2
Feliks Zemdegs,Australia,27
Baramee Pookcharoen (บารมี พุกเจริญ),Thailand,1
Michał Pleskowicz,Poland,11
Dmitry Zvyagintsev,Russia,1
Antoine Cantin,Canada,14
Collin Burns,USA,1
Pavan Ravindra,USA,1
Pavel Galaktionov,Russia,1
Justin Mallari,USA,1
Max Park,USA,12
Kai-Wen Wang (王楷文),Taiwan,1
Kian Mansour,Canada,1
Patrick Ponce,USA,4
Juliette Sébastien,France,1
