Name,Best WR,Event
Andrei Solntsev,174,333bf
Remo Pihel,178,pyram
Leho Hiienurm,207,222
Kaur Tuule,209,333fm
David Nugis,313,skewb
Nikita Slavinski,367,pyram
Uku Kruusamägi,446,magic
Mark Jarovoi,489,skewb
Anti Ingel,501,333fm
Mark Nedashkovski,516,skewb
Andreas Pung,516,mmagic
Karl Hendrik Haavandi,679,magic
Jan Erik Soosaar,699,minx
Kait Rosenberg,830,555
Erik Kippus,838,333bf
Alfred Saidlo,857,333
Richard-Mattias Prints,877,444bf
Reiko Teepere,918,444bf
Anett Kruus,938,222
Gert Kevin Aamisepp,984,333oh
Robin Mere,1049,222
Maksim Zemtšihhin,1064,sq1
Richard Uibo,1239,skewb
Ott Vahtrik,1344,333bf
Kert Kurist,1781,magic
Tarvo Reinpalu,1921,magic
Pelle Mandel,2035,222
Jass Murutalu,2276,333ft
Kert Jalukse,2442,333oh
Mihkel Ilves,2477,333fm
Gromet Spaal,2614,magic
Rio Truija,2891,222
Martti Elvisto,3172,333fm
Vladislav Arinenko,3320,pyram
Asko Mander,3692,magic
Allar Oll,3986,magic
Ralf Marcus Veedler,4402,333fm
Platon Suslov,4484,pyram
Henry Liht,4630,333fm
Aleksandr Tepljakov,5001,333oh
Daniel Lužetski,5512,skewb
Paul Kaspar Nurk,5740,333bf
Martin Mode,5755,222
Kaur Kenk,6014,pyram
Oliver Pällo,6147,sq1
Kennet Gabriel Kadarpik,6154,minx
Karel Udras,6349,pyram
Peeter Kivistu,6501,skewb
Allar-Joel Möldre,6630,333bf
Rene Piik,6738,333fm
Edvin Narjanen,7148,333oh
Raul Mihkel Anton,7224,minx
Raul Volmar,7402,555
Eimer Turo,9072,sq1
Tarmo Pungas,9074,333oh
Artur Rass,9585,skewb
Taniel Voogne,9974,sq1
Tobias Nikopensius,9998,skewb
Artjom Pantepajev,10515,pyram
Sergei Konovalov,11568,pyram
Rasmus Kuusmaa,11771,333oh
Andero Albrecht,11825,444
Reinhold Rebane,12448,222
Roland Jairus,13679,555
Meelis Salujõe,15082,pyram
Henri Põder,15443,pyram
Harri Sikka,15520,333oh
Herman Õunapuu,15754,pyram
Rasmus Runtal,15792,skewb
Valeri Kozlov,16046,pyram
Kaspar Perlov,17315,222
Sten Vällo,17808,skewb
Cordelia Violet Paap,18433,pyram
Kert Vahtre,18509,skewb
Rokko Kippus,19259,pyram
Karl-Mattias Moor,19461,pyram
Liis-Marleen Esken,19566,555
Arthur Prits,20036,222
Karoliis Uus,20100,skewb
Tõnis Pill,20993,555
Rohan Pilt,21314,333oh
Aleksander Aruoja,22265,skewb
Kenn-Eerik Kannike,23482,333oh
Mike Vidrik Rätsep,24519,skewb
Siimon-Tristan Lellep,25369,pyram
Luka Puumets,25764,skewb
Andri Paju,26923,222
Joosep Postov,27112,444
Aksel Tamm,27224,333oh
Gleb Bražnikov,27763,skewb
Ekke Madis Tombu,27971,444
Kaur Tamme,28452,444
Ragnar Rebase,28575,444
Gleb Maksimov,28798,444
Erik Mänd,28807,444
Indrek Jõe,28900,444
Oscar Robin Uusna,29910,333oh
Harald Ekke Krosing,30034,skewb
Samuil Batsinski,30201,333oh
Franco Kikkas,31484,pyram
Kaarel Vesilind,35834,222
Ivo Kruusamägi,36221,pyram
Karl Allikas,36446,pyram
Heleene Anton,38123,222
Kairo Pill,38274,333
Robin Parts,38389,333oh
Olari Reitel,39138,444
Aleksander Odres,40900,222
Joonatan Ringmäe,41063,333
Mikk Maasik,41426,pyram
Andreas Trink,44628,pyram
Sten Sergejev,45113,pyram
Diora Aleksandra Virak,45456,222
Mikk Saluvere,47668,222
Marko Suvi,48300,222
Berit Mere,48466,pyram
Jevgenia Maksimova,49710,pyram
Henrik Mägi,50232,222
Kennet Palgi,52367,333
Markus Pekkenen,52687,pyram
Joosep Toomeste,54262,pyram
Ivan Baranovski,55387,pyram
Peter Jankowsky,57451,pyram
Mihkel Müürsepp,59838,333
Dmitri Kalabanov,64300,222
Mark Laidinen,64633,222
Alar Mihhailov,68010,222
Daniel Osokin,68625,222
Ronald Stimmer,74664,222
Ilja Nardjužev,75421,222
Philipp Kosov,78281,222
Ott Rahuvarm,78486,222
Ilja Kuzmits Ger,78815,333
Liis Karo,82304,333
Aigar Truija,82690,222
Rando Tomingas,84144,222
Saveli Lavrentjev,84228,222
Joonas Lass,85713,222
David Olenevitš,86373,333
Jan Kenneth Toming,86779,333
Mairon Lepik,87028,222
Valter Khrapko,87444,222
Markus Künnapuu,89540,333
Andreas Toomas Kuusk,93460,333
Aleks Petra,95832,333
Kristjan Puusepp,97866,333
Kert Kirsipuu,99745,333
Joosep Voolmaa,99900,333
Karl Ivar Annusver,104409,333
Karl Tammeaid,105050,333
Aimar Tuul,107205,333
Rain Piiber,110460,333
Kadri-Ann Parmas,111412,333
Andres Saidlo,111756,333
Jasper Rebane,114162,333
Raiko Keinast,120876,333
Ralf Kaljumäe,123610,333
Mario Lippmaa,125214,333
Mihhail Domkov,129790,333
Martin Madalik,130787,333
Laura Piho,131652,333
Arvo-Mart Elvisto,132475,333
Arkadi Statsenko,136333,333
Tanel Poom,136836,333
Alex Jankowsky,150000,Null
Juliana Rudenko,150000,Null
