Name,Best WR,Event
Sebastiano Tronto,1,333fm
Alessandro Ricci,9,sq1
Mattia Furlan,13,666
Filippo Brancaleoni,22,magic
Simone Santarsiero,27,magic
Tommaso Raposio,28,333fm
Christian Kaserer,41,222
Giovanni Contardi,45,444
Marco Edoardo Cittar,49,444bf
Alessandro Nicolì,58,333fm
Lorenzo Mauro,67,333mbf
Damiano Di Paola,74,clock
Matteo Dummar,79,clock
Valerio Locatelli,82,333
Flavio Rimi,90,sq1
Matteo Colombo,95,444bf
Gabriele Cappelletti,96,333fm
Fabrizio Cirnigliaro,100,444bf
Matteo Provasi,102,222
Alessandro Solito,107,333bf
Nicolò Simone,108,mmagic
Andrea Santambrogio,110,sq1
Lorenzo Vigani Poli,112,333mbo
Mattia Galentino,124,333
Alexandros Fokianos,126,333fm
Davide Arnesano,131,pyram
Simone Ciancotti,150,mmagic
Pietro Gasparetto,162,444
Francesco Iezzi,163,clock
Kevin Montano,166,555bf
Roberto Bentivoglio,168,333mbf
Marco Rota,176,sq1
Andrea Muzii,183,333bf
Marianna Bondi,188,skewb
Anonymous,190,magic
Simone Canova,197,sq1
Vincenzo Maria Gammino,232,777
Massimiliano Iovane,239,444
Edoardo Disarò,241,333fm
Claudio Bentivoglio,278,333fm
Andrea Gaggioli,292,magic
Luca Brasini,293,555
Giacomo Mambrini,307,clock
Marco Giordano,325,222
Federico De Paoli,358,333
Julian Galliano,360,444bf
Marco Belotti,368,minx
Mariano D'Imperio,378,magic
Pietro Furbatto,379,333fm
Simone Cilia,386,777
Cesare Paulin,392,mmagic
Paolo Moriello,394,444
Nicola Giordani,395,222
Andrea Moscatello,400,sq1
Gianluca Placenti,400,333mbf
Pietro Mazza,402,sq1
Massimo Russo,423,mmagic
Nicola Barbaro,430,333oh
Davide Pierrat,435,skewb
Leonardo Marchizza,453,pyram
Giacomo Vigani,463,magic
Paolo Girotti,464,magic
Federico Borgogni,476,333fm
Damiano Quagliotto,477,magic
Daniel Sartori,483,333
Anna Battistini,486,777
Jacopo Antonio Boffa,488,clock
Marco Manno,539,pyram
Andrea Natale,542,777
Giovanni Centili,558,pyram
Daniele Panna,561,333mbf
Martin Cufar,576,skewb
Michele Zanirato,581,sq1
Riccardo Fasan,586,clock
Letian Mattia Chang,599,mmagic
Jacopo Melchiorri,600,mmagic
Valerio Sannito,604,222
Luigi Manzo,608,mmagic
Edoardo Annesi,614,222
Andrea Lo Sardo,630,222
Marco Levrero,662,magic
Alessandro Fava,695,minx
Alberto Batti,716,333bf
Lorenzo Gravina,723,magic
Leonardo Randacio,723,skewb
Giovanni Bezzetto,742,sq1
Andrea Pavese,760,444bf
Isabella Bosia,771,333mbf
Michele Chiaravalloti,791,pyram
Gianluca Muscò,794,mmagic
Piermarco Giobbi,823,magic
Carolina Guidetti,923,sq1
Andrea Egidio Monti,923,444bf
