Name,Country,Max Streak (days),Start Date,End Date
Feliks Zemdegs,Australia,4440,2009-07-18,2021-09-13
Sebastian Weyer,Germany,3369,2012-06-23,2021-09-13
Marcin Kowalczyk,Poland,3362,2012-06-30,2021-09-13
Yu Da-Hyun (유다현),Korea,3173,2013-01-05,2021-09-13
Emile Compion,South Africa,3024,2007-11-03,2016-02-13
Chris Hardwick,USA,2716,2005-05-28,2012-11-03
Bingliang Li (李炳良),China,2694,2010-07-11,2017-11-25
Michał Halczuk,Poland,2618,2009-01-31,2016-04-02
Mats Valk,Netherlands,2554,2011-10-29,2018-10-26
Kaijun Lin (林恺俊),China,2539,2014-10-01,2021-09-13
Kevin Hays,USA,2464,2011-03-19,2017-12-16
Conor Cronin,South Africa,2443,2013-05-04,2020-01-11
Evan Liu,USA,2427,2012-12-08,2019-08-01
Seung Hyuk Nahm (남승혁),Korea,2298,2015-05-30,2021-09-13
Yohei Oka (岡要平),Japan,2282,2007-03-31,2013-06-29
Anssi Vanhala,Finland,2261,2006-03-18,2012-05-26
Gabriel Pereira Campanha,Brazil,2223,2013-11-30,2020-01-01
Simon Westlund,Sweden,2093,2011-01-22,2016-10-15
Rowe Hessler,USA,2080,2008-07-19,2014-03-30
Mátyás Kuti,Hungary,2075,2007-04-28,2013-01-01
Andrew Nelson,USA,2058,2009-10-24,2015-06-13
Dene Beardsley,New Zealand,2044,2010-09-25,2016-04-30
Jakub Kipa,Poland,2031,2013-07-26,2019-02-16
Marcell Endrey,Hungary,2030,2011-09-03,2017-03-25
Gabriel Alejandro Orozco Casillas,Mexico,2023,2010-07-24,2016-02-06
Drew Brads,USA,2016,2011-12-10,2017-06-17
Maciej Czapiewski,Poland,2004,2016-03-19,2021-09-13
Jayden McNeill,Australia,2002,2014-08-02,2020-01-25
Gianfranco Huanqui,Peru,1955,2016-05-07,2021-09-13
Tom Nelson,New Zealand,1940,2016-05-22,2021-09-13
Zane Carney,Australia,1926,2011-01-29,2016-05-08
Lin Chen (陈霖),China,1897,2012-03-10,2017-05-20
Juan Pablo Huanqui,Peru,1872,2016-07-29,2021-09-13
Jacobus Philip Haupt,South Africa,1817,2011-12-10,2016-11-30
Simon Crawford,United Kingdom,1812,2011-07-30,2016-07-15
Kamaru-Deen Lawal,Nigeria,1799,2012-01-21,2016-12-24
Nathaniel Berg,Sweden,1714,2015-02-22,2019-11-02
Moez Boussarsar,Tunisia,1706,2017-01-11,2021-09-13
Oscar Roth Andersen,Denmark,1686,2010-04-25,2014-12-06
David Woner,USA,1630,2009-02-07,2013-07-26
Christian Kaserer,Italy,1589,2011-11-12,2016-03-19
Shivam Bansal,India,1585,2017-05-12,2021-09-13
Jack Cai,Australia,1549,2017-06-17,2021-09-13
Jasmine Lee,Australia,1500,2003-08-23,2007-10-01
Nevins Chan Pak Hoong (陈百鸿),Malaysia,1499,2013-02-23,2017-04-02
Jonatan Kłosko,Poland,1497,2015-10-17,2019-11-22
Bálint Bodor,Hungary,1491,2012-09-08,2016-10-08
Chester Lian,Malaysia,1490,2011-06-18,2015-07-17
Oliver Frost,United Kingdom,1483,2014-05-17,2018-06-08
Yuhei Takagi (高木佑平),Japan,1447,2013-08-11,2017-07-28
Tomoaki Okayama (岡山友昭),Japan,1436,2012-07-13,2016-06-18
Łukasz Burliga,Poland,1430,2017-10-14,2021-09-13
Yu Nakajima (中島悠),Japan,1427,2011-11-05,2015-10-02
Tim Major,Australia,1405,2013-09-07,2017-07-13
Max Park,USA,1402,2017-11-11,2021-09-13
Sam Zhixiao Wang (王志骁),China,1400,2011-07-30,2015-05-30
Amos Nordman,Finland,1396,2017-11-17,2021-09-13
Andy Bellenir,USA,1393,2003-08-23,2007-06-16
Ciarán Beahan,Ireland,1381,2017-12-02,2021-09-13
Kai-Wen Wang (王楷文),Taiwan,1375,2017-12-08,2021-09-13
Tymon Kolasiński,Poland,1374,2017-12-09,2021-09-13
Zongyang Li (李宗阳),China,1324,2018-01-28,2021-09-13
Shotaro Makisumi (牧角章太郎),Japan,1316,2003-08-23,2007-03-31
Andrea Santambrogio,Italy,1274,2013-11-02,2017-04-29
Emna Boughizane,Tunisia,1273,2018-03-20,2021-09-13
Rami Sbahi,USA,1267,2015-01-31,2018-07-21
Antoine Cantin,Canada,1253,2013-07-06,2016-12-10
Vincent Sheu,USA,1253,2011-02-12,2014-07-19
Chang Jee-Hoon,Korea,1245,2008-07-27,2011-12-24
Dominik Górny,Poland,1241,2018-04-21,2021-09-13
Yassine Bettahar,Algeria,1241,2018-04-21,2021-09-13
Jesse Tipton,South Africa,1241,2015-05-23,2018-10-15
Máté Horváth,Hungary,1233,2008-09-19,2012-02-04
Michał Pleskowicz,Poland,1232,2011-02-12,2014-06-28
Will Arnold,USA,1225,2005-04-16,2008-08-23
Jakob Gunnarsson,Sweden,1221,2018-05-11,2021-09-13
Dan Cohen,USA,1218,2008-04-19,2011-08-20
Haixin Yang (杨海鑫),China,1218,2015-05-02,2018-09-01
Timothy Lawrance,South Africa,1214,2018-05-18,2021-09-13
Pieterjan Joubert,South Africa,1213,2014-11-23,2018-03-20
Yulun Wu (吴宇伦),China,1199,2018-06-02,2021-09-13
Nicolas Naing,USA,1192,2018-06-09,2021-09-13
Timothy Sun,USA,1183,2009-02-21,2012-05-19
Roman Strakhov,Russia,1183,2015-08-28,2018-11-23
David Barr,USA,1183,2003-08-23,2006-11-18
Stefan Pochmann,Germany,1176,2004-04-24,2007-07-14
