Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Gunnar Krig,Sweden,SwedishCubeday2005,5.82,6.29,5.34,6.8,7.03,6.73,3.94
Gustav Fredell,Sweden,SwedishCubeday2005,5.47,6.29,6.54,6.53,13.42,5.8,4.09
Gunnar Krig,Sweden,Svekub2006,5.94,6.29,5.59,4.53,8.14,7.12,6.16
Anthony Hsu,USA,Trumbull2006,5.63,6.29,5.53,7.3,10.06,6.04,3.55
Cory Loviglio,USA,Trumbull2006,6.1,6.29,4.91,4.34,5.78,18.46,8.18
Milán Baticz,Hungary,CzechOpen2006,5.0,5.38,5.7,10.25,4.71,5.73,4.57
Łukasz Ciałoń,Poland,PolishOpen2006,5.19,5.38,4.8,4.78,4.23,6.98,6.56
Milán Baticz,Hungary,BelgianOpen2007,4.27,4.69,4.94,4.83,6.91,4.3,3.68
Mátyás Kuti,Hungary,PolishOpen2007,4.07,4.13,4.03,4.86,4.0,3.84,4.36
Łukasz Ciałoń,Poland,PolishOpen2007,3.99,4.13,3.37,4.59,4.43,2.96,5.95
Shuhei Omura (大村周平),Japan,OsakaOpen2008,3.39,3.91,3.65,2.09,4.41,3.81,4.27
Phil Thomas,USA,MinnesotaOpen2008,3.59,3.63,2.77,2.66,4.18,3.94,4.34
Edouard Chambon,France,ToulouseSummerOpen2008,3.56,3.63,1.88,4.83,1.66,4.94,4.18
Erik Akkersdijk,Netherlands,CzechOpen2008,3.3,3.63,3.82,3.88,3.19,7.75,2.84
Isaac Wappes,USA,USOpen2008,3.39,3.63,3.51,4.08,7.91,3.3,2.8
Sam Boyles,USA,NiagaraOpenSummer2008,3.62,3.63,3.21,5.72,3.18,3.4,4.28
Edouard Chambon,France,DutchMasters2008,3.59,3.63,2.79,3.55,2.68,4.55,5.94
Phil Thomas,USA,WisconsinOpen2008,3.03,3.43,3.05,4.36,3.59,1.86,3.65
Erik Akkersdijk,Netherlands,DutchOpen2008,3.41,3.43,3.02,3.68,3.59,2.97,7.11
Milán Baticz,Hungary,HungarianOpen2008,3.42,3.43,2.11,5.25,2.93,5.5,2.09
Łukasz Ciałoń,Poland,PoznanOpen2008,3.36,3.43,3.15,4.91,2.93,4.03,3.11
Rowe Hessler,USA,VirginiaOpen2008,3.14,3.28,3.24,2.81,3.16,3.44,5.3
Phil Thomas,USA,IndianaWinterOpen2008,3.15,3.28,3.05,2.65,6.02,2.93,3.86
Milán Baticz,Hungary,SwissOpen2009,3.25,3.28,3.15,3.25,3.44,5.0,3.05
Rowe Hessler,USA,NewarkWinter2009,3.2,3.28,3.27,3.02,5.46,3.21,3.36
Łukasz Ciałoń,Poland,PolishOpen2009,3.14,3.15,2.7,2.68,4.46,3.81,2.94
Michał Robaczyk,Poland,PolishOpen2009,2.9,3.15,2.31,1.66,5.48,1.55,6.63
Edouard Chambon,France,WC2009,3.09,3.15,2.87,3.56,3.75,2.68,3.02
Bence Barát,Hungary,HungarianOpen2009,3.1,3.15,2.8,4.16,3.25,2.66,3.4
Rowe Hessler,USA,MITFall2009,2.96,3.15,2.4,4.75,2.3,1.83,5.27
Justin Jaffray,Canada,MITFall2009,2.88,3.15,2.76,4.16,2.53,1.94,-0.01
Justin Jaffray,Canada,BristolOpen2009,3.02,3.15,3.05,9.88,3.5,2.9,2.65
Łukasz Ciałoń,Poland,SilesiaOpen2009,2.98,3.15,2.84,3.08,3.53,3.93,2.33
Philippe Virouleau,France,France2010,2.28,2.45,1.93,3.34,1.41,2.08,5.31
Feliks Zemdegs,Australia,NewZealand2010,2.18,2.45,2.2,2.15,3.0,4.27,1.38
Anthony Brooks,Belize,TorontoSummer2010,2.31,2.45,2.57,2.16,2.38,4.16,2.4
Feliks Zemdegs,Australia,AustralianNationals2010,2.24,2.45,2.48,1.84,3.22,2.53,2.34
Mats Valk,Netherlands,GermanOpen2011,2.08,2.12,1.62,2.61,2.13,1.5,5.31
Feliks Zemdegs,Australia,MelbourneWinterOpen2011,2.06,2.12,1.7,2.3,1.52,3.63,2.36
Christopher Olson,USA,MinnesotaOpen2011,2.09,2.12,1.99,1.96,1.91,3.0,2.41
Feliks Zemdegs,Australia,AustralianNationals2011,1.83,2.12,2.44,1.58,2.15,1.77,2.97
Milán Baticz,Hungary,DutchOpen2011,2.0,2.12,1.9,2.75,1.53,5.91,1.71
Austin Reed,USA,CaltechFall2011,1.98,2.12,1.76,2.58,2.02,1.33,4.25
Cameron Stollery,Australia,MelbourneCubeDay2011,2.04,2.12,2.0,2.72,2.46,1.9,1.77
Cameron Stollery,Australia,SydneyAutumn2012,2.12,2.12,1.67,4.41,1.72,1.66,2.97
Christopher Olson,USA,KansasCubeOff2012,1.99,2.12,2.28,2.08,1.9,2.0,3.16
Christopher Olson,USA,KansasCubeOff2012,2.03,2.12,2.08,2.07,2.21,3.44,1.8
Bill Wang,Canada,TorontoSpring2012,1.84,2.12,2.0,1.15,3.43,2.18,2.18
Louis Cormier,Canada,TorontoSpring2012,2.08,2.12,1.2,1.08,3.58,2.55,2.61
Christopher Olson,USA,MinnesotaOpen2012,1.94,2.12,2.34,1.96,2.06,2.47,1.8
Cameron Stollery,Australia,MelbourneWinter2012,2.08,2.12,1.93,-0.01,1.8,2.22,2.21
Edward Lin,USA,USNationals2012,2.09,2.12,2.13,4.52,2.17,2.06,2.05
Christopher Olson,USA,USNationals2012,2.0,2.12,2.2,2.13,2.75,2.03,1.84
Cameron Stollery,Australia,AustralianNationals2012,2.0,2.12,1.37,2.52,2.47,7.66,1.02
Christopher Olson,USA,Cubetcha2012,1.86,2.12,2.37,1.97,1.58,2.81,2.02
