Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
David Woner,USA,CarnegieMellonSpring2009,8.58,8.6,7.15,10.27,7.08,10.97,8.38
Javier Tirado Ortiz,Spain,ToulouseOpen2010,8.25,8.6,8.62,8.53,16.41,7.56,8.65
Taki Sugimoto (杉本太暉),Japan,JapanOpen2010,7.49,7.96,8.3,-0.01,7.4,6.9,8.18
Maarten Smit,Netherlands,BelgianOpen2010,7.84,7.96,7.42,9.0,8.38,8.08,7.05
Javier Tirado Ortiz,Spain,CubeNRoll2010,7.43,7.96,8.64,9.15,7.05,7.65,7.59
Maarten Smit,Netherlands,Euro2010,7.22,7.53,7.56,6.81,8.61,8.22,6.63
Maarten Smit,Netherlands,Euro2010,7.46,7.53,6.88,9.63,6.66,7.9,7.81
Ernesto Fernández Regueira,Spain,MadridOpenRubik2010,7.51,7.53,6.43,8.71,6.36,7.75,8.41
Daniel Sheppard,United Kingdom,WC2011,6.79,7.33,7.78,9.0,6.5,7.71,6.16
Javier Tirado Ortiz,Spain,WC2011,6.8,7.33,7.41,8.55,5.83,7.68,6.9
Sam Zhixiao Wang (王志骁),China,ShanghaiWinter2011,6.59,7.33,7.86,8.28,6.72,5.65,7.41
Pierre Bouvier,France,HautePatateOpen2012,6.78,7.09,7.44,7.77,6.9,6.93,6.52
Prin Kijviwattanakarn (ปริญ กิจวิวัฒนการ),Thailand,AsianChampionship2012,6.62,7.09,7.76,6.88,6.63,6.35,8.53
Maarten Smit,Netherlands,Euro2012,6.84,7.09,7.44,6.8,6.68,7.03,7.88
Sam Zhixiao Wang (王志骁),China,UKOpen2012,7.03,7.09,6.24,7.28,7.75,7.8,6.05
Wojciech Knott,Poland,KaliskaOpen2014,6.15,6.61,7.03,6.85,5.95,5.64,7.48
Evan Liu,USA,CMUFall2014,6.27,6.61,6.37,6.28,7.18,5.36,9.8
Yunho Nam (남윤호),Korea,AsianChampionship2014,5.97,6.0,5.41,7.47,5.31,6.81,5.78
Wojciech Knott,Poland,SLSGliwice2015,5.77,6.0,6.04,5.39,6.57,7.72,5.34
Wojciech Knott,Poland,SLSZawiercie2015,5.81,5.94,6.07,5.91,15.76,5.84,5.69
Nathaniel Berg,Sweden,DanishOpen2015,5.53,5.94,4.95,6.27,-0.01,3.73,6.6
Hubert Hanusiak,Poland,SantaClausCubeRace2015,5.94,5.94,5.36,5.43,5.35,7.03,9.79
Wojciech Knott,Poland,BeskidyCubingDay2016,5.86,5.94,5.62,5.39,5.92,6.28,7.55
Evan Liu,USA,NorthLondonOpen2016,5.8,5.94,5.6,7.15,6.3,5.92,5.19
Wojciech Knott,Poland,MielecCubeDay2016,5.71,5.94,5.7,5.87,6.25,-0.01,5.0
Wojciech Knott,Poland,KaliskaOpen2016,5.48,5.72,4.87,10.8,6.77,4.16,5.52
Wojciech Knott,Poland,Euro2016,5.54,5.72,5.98,7.38,5.59,5.44,5.59
Evan Liu,USA,NewcastleunderLyme2017,5.33,5.33,4.59,5.69,5.71,5.81,4.58
Tairan Zhong (钟泰然),China,NanchangSpring2017,5.16,5.33,5.22,5.1,6.52,4.71,5.67
Tairan Zhong (钟泰然),China,NanjingSpring2017,4.85,5.33,5.63,5.76,4.6,4.18,6.42
Tairan Zhong (钟泰然),China,ZhuhaiOpen2017,5.21,5.23,4.91,5.14,5.64,6.48,4.85
Wojciech Knott,Poland,ByczyCubeRace2017,5.17,5.23,4.6,5.5,4.43,6.43,5.59
Wojciech Knott,Poland,WC2017,5.04,5.23,5.23,5.18,4.67,6.89,5.28
Tairan Zhong (钟泰然),China,China10years2017,5.15,5.22,4.37,5.05,6.24,4.16,-0.01
Tairan Zhong (钟泰然),China,China10years2017,4.64,5.22,6.07,5.04,8.31,4.34,4.55
Tairan Zhong (钟泰然),China,HUSTSpecialCubesOpen2017,5.15,5.22,4.81,-0.01,5.53,5.32,4.6
Tairan Zhong (钟泰然),China,HUSTSpecialCubesOpen2017,5.15,5.22,4.86,4.66,5.71,5.09,5.86
Tairan Zhong (钟泰然),China,ShanghaiWinter2018,4.92,4.95,4.54,4.46,5.51,5.36,4.95
Wojciech Knott,Poland,WarsawCubeMasters2018,4.9,4.95,4.58,5.33,5.51,4.43,4.94
Tairan Zhong (钟泰然),China,CrossstraitCubingExchange2018,4.8,4.95,4.85,5.85,4.4,4.44,5.56
Suen Ming Chi (孫銘志),Hong Kong,GDSYOpen2019,4.41,4.56,3.75,4.17,3.29,5.76,7.35
Yunhao Lou (娄云皓),China,SpecialPuzzlesinGuangzhou2019,4.43,4.43,3.68,5.31,5.31,3.67,4.3
Tairan Zhong (钟泰然),China,ChinaChampionship2019,4.3,4.43,4.53,5.71,4.55,4.21,4.15
Yunhao Lou (娄云皓),China,Shenzhen10thAnniversary2019,4.34,4.43,4.51,4.4,6.65,4.25,4.38
Yunhao Lou (娄云皓),China,GuangdongOpen2021,3.79,3.86,3.44,4.07,4.07,3.22,6.87
