Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Kåre Krig,Sweden,SwedishOpen2005,13.98,14.81,10.84,17.87,15.72,8.36,29.25
Piotr Kózka,Poland,PolishOpen2006,7.66,8.46,6.57,8.34,4.18,10.47,18.73
Mátyás Kuti,Hungary,GermanOpen2007,8.27,8.46,7.94,7.36,12.46,8.35,9.09
Tomasz Kiedrowicz,Poland,GdanskOpen2008,5.22,5.98,5.1,8.51,5.48,2.83,7.36
Yohei Oka (岡要平),Japan,JapanOpen2009,3.9,4.15,4.39,3.65,3.91,4.15,4.59
Yohei Oka (岡要平),Japan,JapanOpen2010,3.57,4.07,4.47,4.75,3.68,2.96,4.06
Yohei Oka (岡要平),Japan,JRCAKansaiSpring2010,3.59,3.92,4.14,3.72,4.31,3.9,3.16
Oscar Roth Andersen,Denmark,SkarupChristmas2010,3.6,3.71,3.62,3.33,4.18,5.11,3.3
Oscar Roth Andersen,Denmark,FredericiaOpen2011,3.33,3.71,3.53,2.4,4.58,5.52,3.02
Oscar Roth Andersen,Denmark,FredericiaOpen2011,3.41,3.71,4.15,3.55,4.44,3.25,3.43
Yohei Oka (岡要平),Japan,KansaiOpen2012,3.11,3.39,3.53,2.68,3.78,2.86,3.88
Riadi Arsandi,Indonesia,Celebes2012,2.95,3.25,3.63,3.21,4.97,2.72,2.91
Yohei Oka (岡要平),Japan,KansaiOpen2013,3.12,3.25,3.37,3.83,3.3,3.08,2.97
Jakub Wolniewicz,Poland,GLSSummer2013,2.77,2.96,2.25,2.94,4.44,1.69,3.69
Drew Brads,USA,HillsdaleFall2013,2.62,2.96,2.73,4.28,1.71,3.9,2.25
Jules Desjardin,France,LaMontagneOpen2013,2.62,2.96,2.92,2.44,4.18,3.52,1.91
Jules Desjardin,France,GaleriesDorianOpen2014,2.94,2.96,2.63,2.56,2.78,3.47,3.58
Yohei Oka (岡要平),Japan,KansaiOpen2014,2.84,2.96,2.59,4.88,3.16,2.22,3.13
Yi Wang (王旖),China,FuzhouOpen2014,2.87,2.96,2.39,3.43,3.06,2.12,4.61
Jules Desjardin,France,FLIPOpen2014,2.9,2.96,2.87,3.33,2.68,2.68,6.68
Yohei Oka (岡要平),Japan,CubeCampinKanazawa2014,2.78,2.96,3.01,2.72,3.15,5.0,2.46
Drew Brads,USA,Indiana2014,2.38,2.96,3.53,2.46,3.53,2.89,1.78
Drew Brads,USA,VirginiaOpenFall2014,2.94,2.96,2.43,2.37,2.81,3.64,3.75
Jules Desjardin,France,UgineJeuEtJouet2014,2.36,2.56,2.56,2.84,2.28,1.96,4.09
Dohyun Kim (김도현),Korea,GoodCubeShowKorea2015,2.41,2.56,2.79,2.45,2.44,4.84,2.34
Drew Brads,USA,Dayton2015,2.39,2.56,2.42,4.22,1.92,2.05,3.21
Drew Brads,USA,USNationals2015,2.29,2.56,2.83,2.41,4.28,2.03,2.44
Dohyun Kim (김도현),Korea,KoreanKAISTstyle2015,2.46,2.56,2.41,2.97,2.12,2.3,3.25
Drew Brads,USA,DaytonSpring2016,2.3,2.52,2.35,1.9,1.7,3.31,3.8
Jules Desjardin,France,France2016,2.44,2.52,1.96,3.53,4.49,2.07,1.71
Rafał Waryszak,Poland,LodzCubingSummer2016,2.25,2.52,2.73,2.83,1.93,2.0,3.98
Drew Brads,USA,USNationals2016,2.31,2.41,1.96,3.92,2.12,3.15,1.66
Livia Kleiner,USA,FantasticManhattan2016,2.11,2.14,1.85,2.56,2.01,3.43,1.77
Drew Brads,USA,ShakerFall2016,2.13,2.14,1.92,2.35,3.78,2.15,1.88
Drew Brads,USA,CubingUSANationals2017,1.78,2.14,2.66,1.58,2.1,2.71,1.66
Jules Desjardin,France,WC2017,2.03,2.04,1.78,2.61,2.23,1.74,2.11
Drew Brads,USA,GlassCityOpen2017,2.0,2.04,1.87,1.74,2.25,2.0,2.69
Tymon Kolasiński,Poland,GLSCupV2017,1.87,2.04,2.21,1.83,3.35,1.7,2.08
Tymon Kolasiński,Poland,ByczyCubeRace2018,1.85,2.02,2.16,1.72,1.64,2.18,3.33
Jules Desjardin,France,Euro2018,1.98,2.02,1.55,2.36,1.44,2.15,5.25
Drew Brads,USA,CubingUSANationals2018,1.98,2.02,1.79,2.3,1.97,1.66,4.23
Tymon Kolasiński,Poland,ProjectRadom2018,1.96,2.02,1.87,2.19,2.0,1.7,-0.01
Junqi Feng (冯骏骐),China,SJTUWinterOpen2018,1.76,1.87,1.83,2.57,2.04,1.74,1.51
John Gaynor,USA,MichiganCubingClubDelta2019,1.64,1.86,1.69,1.04,6.17,2.13,1.76
Tymon Kolasiński,Poland,CubersEve2019,1.73,1.86,1.75,2.04,1.79,3.91,1.35
Luke Van Laningham,USA,GarrettsvilleGMenClassic2020,1.77,1.86,1.96,1.76,1.86,2.01,1.68
Simon Kellum,USA,CopperCountryWinter2020,1.82,1.86,1.67,1.56,2.16,1.75,2.52
Tymon Kolasiński,Poland,LLSIBelzyce2021,1.75,1.86,1.87,3.9,1.75,1.54,1.96
Dominik Górny,Poland,LLSIBelzyce2021,1.65,1.86,1.98,1.53,2.2,2.07,1.35
Tymon Kolasiński,Poland,LLSIBelzyce2021,1.73,1.86,2.04,1.74,1.8,4.55,1.64
Tymon Kolasiński,Poland,LLSIBelzyce2021,1.82,1.86,1.79,1.68,1.78,2.01,2.23
Kerry Creech,USA,GACubersReturnB2021,1.77,1.83,1.34,1.15,2.07,2.08,2.3
