Name,Country,Missed Chances
Abhishek Sathyanarayanan,India,2
Velidi Venkata Jagan Mohana Murali Krishna,India,1
Santosh Tantravahi,India,1
Andreas Pohl,Germany,1
Sébastien Auroux,Germany,1
John Brechon,USA,1
Jan Bentlage,Germany,1
Ivan Zabrodin,Russia,1
Ihor Bilchenko (Ігор Більченко),Ukraine,1
Nick Camillone,USA,1
Mharr Justhinne Ampong,Philippines,1
Jonatan Kłosko,Poland,21
Daniel Sheppard,United Kingdom,1
Bartłomiej Sordyl,Poland,1
Patryk Szewczyk,Poland,1
Antoine Cantin,Canada,1
Brandon Harnish,USA,1
Rami Sbahi,USA,2
SeungBeom Cho (조승범),Korea,1
Jayden McNeill,Australia,3
Xiao Hu (胡霄),China,1
Jiacheng Peng (彭家诚),China,1
Daniel Wallin,Sweden,1
Kennan LeJeune,USA,1
Michał Rzewuski,Poland,12
Hong Seungbin,Korea,1
Łukasz Burliga,Poland,10
Eki González García,Spain,1
Jan Zych,Poland,1
Zeyu Hu (胡泽宇),China,3
Cale Schoon,USA,1
Fabio Schwandt,United Kingdom,1
Kevin Gerhardt,Germany,1
Maxence Baudry,France,1
Mattheo de Wit,Netherlands,1
Daniel Vædele Egdal,Denmark,1
Christopher Chi,USA,1
