Name,Country,Competition,Best Possible Average,Current WR,Minimum Time Needed,Solve1,Solve2,Solve3,Solve4
Jianwei Zhu (朱剑伟),China,GuangdongOpen2009,14.37,14.61,14.32,14.61,14.9,14.97,13.61
Piotr Michał Padlewski,Poland,WC2009,13.71,14.61,13.67,16.3,10.96,17.91,13.86
Piotr Michał Padlewski,Poland,PolishOpen2010,13.62,14.61,15.38,19.27,13.05,15.4,12.41
Simon Crawford,United Kingdom,BristolSpring2010,14.45,14.61,11.41,10.93,17.21,15.21,18.72
Simon Crawford,United Kingdom,BristolSpring2010,13.99,14.61,13.73,18.91,15.16,11.86,14.94
Bingliang Li (李炳良),China,GuangzhouBigCubes2010,13.17,14.33,15.0,12.41,16.72,11.53,15.58
Piotr Michał Padlewski,Poland,PolishNationals2010,11.73,12.99,13.7,16.41,10.16,9.93,15.11
Simon Crawford,United Kingdom,UKOpen2011,11.57,11.78,11.66,11.15,13.03,12.53,11.03
Simon Crawford,United Kingdom,Euro2012,10.89,11.31,11.3,11.47,10.05,19.16,11.16
Bingliang Li (李炳良),China,GuangzhouSCAU2013,10.73,11.31,11.32,15.06,9.59,12.18,10.43
Bingliang Li (李炳良),China,GuangzhouCCSA2013,10.88,11.31,11.26,10.53,12.14,9.97,12.57
Bingliang Li (李炳良),China,GuangzhouBigCubes2013,10.73,11.31,11.17,11.71,12.89,11.05,9.42
Bingliang Li (李炳良),China,GuangzhouBigCubes2013,10.94,11.31,10.41,12.69,9.31,11.22,12.3
Bingliang Li (李炳良),China,CubeSplashing2014,10.62,11.31,12.24,10.18,14.03,10.91,10.78
Emanuel Rheinert,Germany,SebraOpen2015,10.17,10.21,8.62,17.7,11.6,10.41,8.49
Brandon Lin,USA,SlowNSteadyWinter2016,10.1,10.21,9.63,9.29,16.15,9.62,11.38
Rui-Jun Liu (劉睿鈞),Taiwan,AllisWell2016,9.51,9.9,10.13,8.97,14.68,10.21,9.36
Brandon Lin,USA,ManhassetSpring2016,9.4,9.9,10.7,9.71,9.19,9.29,14.87
Sophie Chan,USA,USNationals2016,9.9,9.9,8.35,15.74,10.78,8.34,10.57
Zijia Feng (冯子甲),China,XianOpen2016,9.75,9.9,9.0,13.02,10.82,8.55,9.88
Emanuel Rheinert,Germany,GermanNationals2016,8.97,9.33,9.41,8.93,11.19,9.65,8.34
Charlie Stark,United Kingdom,BirminghamOpen2016,8.61,9.33,10.62,8.56,8.45,13.95,8.81
Daniel Karnaukh,USA,WC2017,8.37,8.45,6.9,6.66,7.95,13.1,10.5
Diego Brizuela Crespo,Mexico,WeasMexico2017,8.4,8.45,7.49,11.63,8.82,9.04,7.33
Charlie Stark,United Kingdom,GuildfordOpen2017,8.32,8.45,6.13,8.78,10.44,11.5,5.73
Zijia Feng (冯子甲),China,JinhuaNewYearsDay2018,7.77,8.04,8.29,7.93,12.5,7.47,7.9
Martin Vædele Egdal,Denmark,Generalforsamlingen2018,8.01,8.04,7.27,8.33,10.62,8.52,7.18
Rasmus Stub Detlefsen,Denmark,Generalforsamlingen2018,7.92,8.04,7.9,7.67,8.97,8.55,7.55
Daniel Karnaukh,USA,SlowNSteadyWinter2018,7.72,8.04,7.17,10.02,6.21,9.44,7.51
Charlie Stark,United Kingdom,ManchesterOpen2018,7.32,8.04,8.71,6.54,12.69,8.4,7.01
Firstian Fushada (符逢城),Indonesia,SingaporeChampionship2018,7.76,8.04,8.05,8.02,8.05,7.21,13.68
Rasmus Stub Detlefsen,Denmark,RoyalCornerTwist2018,7.25,7.56,6.59,14.13,5.66,8.87,7.22
Rasmus Stub Detlefsen,Denmark,SwedishChampionship2018,7.1,7.25,6.98,8.84,7.66,7.11,6.53
Rasmus Stub Detlefsen,Denmark,TarnbyCubeTraef2018,7.19,7.25,6.7,8.39,7.28,6.52,7.77
Rasmus Stub Detlefsen,Denmark,Euro2018,7.08,7.25,6.82,6.32,7.95,9.4,6.98
Rasmus Stub Detlefsen,Denmark,DastrupSleepover2018,6.91,7.25,7.04,7.35,7.56,6.03,7.36
Rasmus Stub Detlefsen,Denmark,SkottegardsskolenOpen2018,6.87,7.02,6.94,7.46,6.49,12.87,6.66
Anuar Miguel Abib Onofre,Brazil,CapivaraSunrise2019,6.34,6.73,6.66,9.57,6.76,6.77,5.5
Rasmus Stub Detlefsen,Denmark,KMGSpring2019,6.54,6.73,6.13,5.57,6.43,9.96,7.63
Michał Krasowski,Poland,LLSVFinal2019,6.61,6.73,6.75,6.39,6.67,12.14,6.77
Michał Krasowski,Poland,LLSVFinal2019,6.57,6.73,5.78,8.51,8.31,5.3,6.1
Rasmus Stub Detlefsen,Denmark,GreveGymnasium2020,6.19,6.54,6.75,9.28,5.69,6.77,6.1
Michał Krasowski,Poland,LLSIIIv22020,6.53,6.54,6.05,6.76,6.81,6.02,8.2
Michał Krasowski,Poland,DragonCubing2020,6.24,6.54,7.04,7.63,6.22,6.15,6.36
Max Siauw,USA,IdahoSummerB2021,6.19,6.34,5.77,6.87,6.4,6.85,5.32
