Name,Country,Competiton,Best Possible Average,Current WR,Solve1,Solve2,Solve3,Solve4
Jessica Fridrich,Czech Republic,WC2003,18.89,20.0,27.53,22.22,17.33,17.12
Shotaro Makisumi (牧角章太郎),Japan,CaltechSpring2005,14.04,14.52,12.54,19.82,16.26,13.33
Shotaro Makisumi (牧角章太郎),Japan,CaltechDallas2005,14.1,14.52,15.84,12.26,14.87,15.17
Shotaro Makisumi (牧角章太郎),Japan,CaltechDallas2005,13.86,14.52,15.12,12.34,16.67,14.11
Shotaro Makisumi (牧角章太郎),Japan,WC2005,14.27,14.52,12.14,14.19,16.47,20.03
Jean Pons,France,WC2005,14.14,14.52,15.62,15.87,13.0,13.81
Leyan Lo,USA,Rutgers2005,14.25,14.52,15.24,13.23,16.18,14.27
Shotaro Makisumi (牧角章太郎),Japan,CaltechWinter2006,14.45,14.52,13.28,13.87,16.49,16.2
Shotaro Makisumi (牧角章太郎),Japan,CaltechSpring2006,13.08,13.22,13.42,15.61,12.5,13.32
Jean Pons,France,Euro2006,12.82,13.22,12.27,14.57,13.06,13.12
Joël van Noort,Netherlands,Euro2006,12.86,13.22,14.65,16.45,11.26,12.66
Joël van Noort,Netherlands,DutchOpen2006,12.85,13.22,16.55,13.37,13.9,11.29
Jean Pons,France,LyonOpen2007,11.4,11.76,14.52,11.91,11.71,10.59
Harris Chan,Canada,TorontoOpenFall2007,11.57,11.76,9.8,13.91,11.08,13.84
JeongMin Yu (유정민),Korea,KCAKoreaOpen2008,11.7,11.76,10.78,-0.01,10.5,13.83
Edouard Chambon,France,BelgianOpen2008,11.53,11.76,11.72,12.55,10.33,13.16
Edouard Chambon,France,MontpellierOpen2008,11.39,11.76,11.22,12.31,13.63,10.65
Harris Chan,Canada,TorontoOpenWinter2008,11.44,11.48,10.96,12.28,13.44,11.09
Harris Chan,Canada,CanadianCubingClassic2008,10.76,11.33,11.1,13.68,11.75,9.44
Yu Nakajima (中島悠),Japan,KashiwaOpen2008,10.42,11.28,10.61,8.72,14.19,11.93
Erik Akkersdijk,Netherlands,CzechOpen2008,10.88,11.28,10.69,12.03,13.94,9.93
Yumu Tabuchi (田渕雄夢),Japan,TokyoOpen2008,11.14,11.28,11.63,12.11,9.68,16.55
Harris Chan,Canada,NiagaraOpenSummer2008,11.0,11.28,11.63,12.22,10.03,11.33
Erik Akkersdijk,Netherlands,BrusselsSummerOpen2008,10.68,11.28,11.19,10.66,13.81,10.18
Tomasz Żołnowski,Poland,Euro2008,11.12,11.28,33.28,11.3,11.61,10.44
Yu Nakajima (中島悠),Japan,JapanOpen2008,11.18,11.28,12.86,10.83,9.84,13.09
Yu Nakajima (中島悠),Japan,JapanOpen2008,10.98,11.28,10.33,12.08,10.93,11.68
Keisuke Hiraya (平谷啓輔),Japan,JapanOpen2008,11.25,11.28,12.21,11.47,13.91,10.08
Erik Akkersdijk,Netherlands,Germany2008,11.0,11.28,11.8,14.9,10.5,10.71
Andy Tsao,USA,BerkeleyFall2008,11.02,11.28,10.47,11.41,14.15,11.18
Erik Akkersdijk,Netherlands,AachenOpen2009,10.97,11.28,11.59,28.02,11.05,10.27
Harris Chan,Canada,TorontoOpenWinter2009,10.96,11.11,11.16,13.13,11.09,10.63
